hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,99.3949166666667,29.2242255792893,27.6295989691051,26.5406087936755,40.3121750748246,37.6161087746548,42.2885795878246,46.8815859056742,36.5779231131014,28.7385548069914,21.7287518213038,23.65375
1,99.5174166666667,28.8701886180373,26.8716084244969,27.3619389621686,40.6809227257218,37.7381098493135,41.2058901548698,47.0610768354136,35.0414984645385,27.9664589044359,20.9221529830632,23.4993333333333
2,99.5625833333333,27.9707108777514,24.3656897257915,27.0181147912716,38.9704129826838,38.2509217134927,40.3116455233704,47.1605098132495,33.8978707249438,26.5699092579722,20.5999947265082,23.3639166666667
3,99.5974166666667,27.6831186498106,24.3198097503178,27.8895299186636,38.342425981768,38.8371704252554,39.5735288224049,47.0729380821559,34.2479101731873,25.9118455663483,19.6851842726348,23.2325
4,99.631,27.7496699547987,23.4704393892985,27.6336705047547,36.1541724322171,38.6097011575434,38.466320856523,46.7494843952069,34.0002944846086,24.8439192771042,19.1709637596794,23.1283333333333
5,99.6315833333333,27.5640313064065,22.0914468830333,24.365647047998,34.4824872796421,38.0775574426004,35.1771512365668,44.5654689157231,39.2179824253304,22.1422329434082,17.4246654104887,23.0339166666667
6,99.6703333333333,28.1072301918139,28.0148410124236,25.9551716536775,27.2650777179777,32.0616935845079,32.025503293986,40.7710931781147,39.4678850739589,20.9575931910111,17.2211770649326,22.9410833333333
7,99.7361666666667,27.8092468860164,25.0209885121412,26.7799684091299,26.0877922705937,36.2955056936464,31.9421923449845,39.4960658756188,37.2944060956858,19.5179657775413,14.3652656597488,22.8738333333333
8,99.8411666666667,27.8542613699588,22.2490202551979,24.8421502596985,23.2193043070078,34.0021049498096,29.4918677954433,37.8747783559549,39.742529196083,18.9442856873391,11.5271969133707,22.96525
9,99.9545833333333,28.6078527616689,22.0948947140564,25.225834783952,23.5742678515227,32.0003185345332,27.6411187055799,30.8565046282597,41.8518550863888,24.1248244461047,12.5199238761984,23.3483333333333
10,99.9008333333333,29.0374109364208,20.9124249719381,23.6538012055887,21.2752469685941,24.6942378594109,22.9598513702614,23.7845618640207,42.1657210093576,28.6886126059596,12.4128271023458,24.0301666666667
11,99.2509166666667,28.7417055411845,20.3384570624316,22.4805562790727,18.8996475334225,19.5191271513491,20.3699781477821,21.7740535304087,41.5169723131136,36.2213860321252,13.2336500060398,24.80575
12,97.9965833333333,29.6750593698237,20.4888685449749,23.4672439817719,19.5712040133267,18.548030818254,20.1624781042675,21.3249888328552,38.5594801550048,37.0715323361109,14.6196893220687,25.3725
13,96.737,29.0178736328676,21.4147342481017,22.488739095971,19.9109848152217,17.5076590672815,19.2696005984201,20.8800372809769,37.8157006231571,38.2077506056174,16.7153323404331,25.7766666666667
14,96.0075833333333,28.7091566914751,19.7839172238677,22.7335442056682,24.0348565313213,17.1114764086504,20.7846797837208,21.3295467188579,38.4488240112778,39.0773400673416,19.2782092825261,26.11375
15,95.8295833333333,28.2968038819869,21.3784687637198,21.1738561866127,25.4055526856853,18.8190036005308,21.5667095861277,22.493689645557,39.5756979593491,38.952692551897,20.8442403570429,26.3566666666667
16,96.9313333333334,28.7897746584598,21.6753182020785,21.931753821356,26.4745738938105,22.0031273908355,23.0940816528899,22.8204837606433,40.4918990424841,40.8033838640707,25.5364651284039,25.9670833333333
17,97.2370833333333,31.7538407444803,22.4692722291652,22.2581763111462,25.6037498462203,27.1070390104974,25.5956233869938,27.1050851261707,44.086467084171,44.2028605884277,31.4244325463758,25.7348333333333
18,98.0976666666667,32.8719268106328,25.4569362274659,24.072901241674,23.6462744215674,35.8767307982385,43.7509494628572,40.9696378894526,42.8110395254105,41.3419934333826,28.4061954461813,25.3855
19,98.6898333333333,31.9984137236207,25.597810845822,21.849925052719,35.0076647274558,43.7566085457461,46.9616884463718,48.0333973374415,46.0613474703801,44.3267576015371,29.7264723824179,24.99525
20,98.8036666666667,31.1806439821171,27.9424280269595,24.6307330937195,38.2415880446558,41.5707745399246,44.3656503025684,46.0317524042536,41.6795863036853,39.7407793407921,26.2131004932785,24.57375
21,98.9286666666667,31.070169144097,30.2580140458709,25.7776470238172,38.5116774960113,39.6742858984417,43.815149945154,44.935961137578,38.8124047057608,35.0140676211761,23.7735747085784,24.29875
22,99.06275,30.3755612868766,29.4919830399042,25.8309583043477,39.7252383826643,38.8758681284372,43.5448282754409,45.3894925235603,38.4545831954567,31.0424291921653,22.9053465536419,24.0725
23,99.2398333333333,29.7763310113082,28.0301269956264,26.0932364381341,39.7389649587147,38.1360329566225,43.0223415531111,46.9290489855988,37.7322315638509,28.2476241895164,21.6578788338335,23.869
