hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,99.9704032258065,26.938179467022,23.3376357801717,20.4845919502316,35.7412862762125,36.0533525590214,39.4716075493141,44.5932450581891,33.3336743174431,25.9857208520034,22.901220181657,23.4908064516129
1,99.9885483870968,26.7419919495146,23.8902505126883,22.5806047432596,35.782959240344,36.1910000564608,38.6224078054541,45.1601871774647,31.8824507021786,25.6357387131418,22.5080304640127,23.3193548387097
2,99.9972580645161,26.6296107285658,22.0042508194489,20.9900018388497,35.4893783176016,36.3658062758349,37.5383108057331,44.2308271908506,30.0780908714311,24.4131793213625,21.4628599215518,23.1567741935484
3,100,26.2230646109478,19.9888864580249,20.2320079327568,34.981009570776,36.8053458966771,36.4162590268116,44.3554910947646,28.4671411231838,23.3433419913123,20.7910836727235,23.0017741935484
4,99.9991935483871,25.7165190199905,16.5827255154918,19.883371922137,33.5759873657335,36.7204388638945,35.639468799922,44.0242013384165,29.3039295888571,21.2221921216686,17.9422357830002,22.8506451612903
5,100,25.0891347233433,15.2887753824886,19.6859051847514,31.444218556301,35.3540219950247,33.1288510205417,42.2576138018683,33.827955251641,17.9184978915806,14.5652159082853,22.7262096774194
6,99.9995161290323,26.0631637657781,22.7847470239116,21.9219553911609,24.5384651510953,26.7025366150046,29.8570526270312,40.5296949983268,34.6198224653558,17.312922030207,12.3546633818871,22.5867741935484
7,100,25.2603581088656,20.7199914408308,21.0725331987461,23.4386396448199,24.5444286443753,27.0224676210531,39.8497592916423,38.6603705046343,15.6759184903814,10.2147270763048,22.4622580645161
8,100,25.2189265088257,21.1599742867959,23.6012228483308,25.8311459982749,23.4039085186553,25.4097702776422,36.4314796655624,39.4934793102632,17.9083238392557,12.0751683373487,22.4857258064516
9,100,26.0894678589342,21.0225391219759,30.9037181215919,28.8847989728641,23.4783741733396,25.2157761012844,30.3506353101741,41.3202991691207,26.46898307214,16.1783253303692,22.8851612903226
10,100,26.5447376344104,19.8810428263455,33.7545684659664,28.5369434568483,21.0421760543089,23.625660031987,25.1301526784356,40.7487560316698,34.6008399124414,15.2956322291133,23.6977419354839
11,99.8797580645161,26.6689228645033,17.56780933178,33.5700114089879,24.749376503904,17.810710552032,20.2346293957326,22.11159313482,39.2339050512091,37.4497050367449,14.2084323695545,24.8253225806452
12,99.4602419354839,26.2437344449844,17.8757885418643,27.2641909359361,23.7211064257958,17.5953596115081,19.2327535823094,20.1776750653078,37.1404829078389,37.6248474601161,13.7752991238348,25.5615322580645
13,97.7460483870968,26.2370133270917,17.9841644998405,34.5990975624038,26.7703326864679,17.872009059556,21.1140920047028,21.2449266013141,36.8953888806236,38.0176540283831,16.7256123775369,26.2562096774193
14,96.9064516129032,27.0540530656792,19.2171297384594,35.628375518317,26.5324859527166,18.5607055279093,22.1319811921761,22.6827929557544,36.4179767395924,37.3218201369757,19.8593334744965,26.6420161290323
15,95.2061290322581,26.342022797301,19.1619228236734,32.9890205200956,26.1094886664148,18.9798281991402,21.9440606987597,23.2072731638154,37.5930375735226,36.6252151755957,22.7738045027938,26.8291129032258
16,96.6679838709678,30.1596552686759,18.6778962064162,32.0726680080158,25.44000262938,17.6895269478561,19.9534361360935,24.4670799235721,40.2039942596355,38.5447276086557,24.441383878325,26.1928225806452
17,98.2956451612903,32.7621038173394,20.9306267272712,29.4144602520498,24.8874154802274,18.2675552186259,22.0806111737131,27.6421562006188,41.3647019767497,38.0966290077324,24.2888708988496,25.5587903225806
18,99.248870967742,31.3799357844766,20.2411737575161,23.307368979867,22.4551922460072,25.6926822355512,36.3498480689115,38.9269148982562,40.7144063033636,36.5797460335587,23.6855484743699,25.1527419354839
19,99.4637096774194,29.4057478595997,20.4967246206796,18.294205854668,32.557507133026,41.2343869765103,45.2867382389044,46.6365491235784,45.3564032627425,41.6086297303551,25.7982811713311,24.7466129032258
20,99.6350806451613,28.8029361910647,26.0887763443455,21.0592289231803,35.4347757448451,39.2238412301165,41.7421590902082,44.5919192092363,40.0784612738112,36.1373420696707,24.4828068668542,24.3728225806452
21,99.761370967742,28.4014414444604,25.3858500820834,21.1279078083079,35.0287196124355,37.4551858408392,41.1391790889524,43.2537824267531,37.1242367241291,30.7696617731955,23.4188285014736,24.0789516129032
22,99.9078225806452,27.4704148013075,24.3118576763557,21.9857191926077,35.9231095526504,37.307012175268,41.0032256650429,43.1636773045173,35.8777779996345,28.8994132912856,23.4142480767242,23.8432258064516
23,99.934435483871,27.7058446829226,24.3367232553638,21.7478618137005,35.4796470447459,36.2482361601543,40.428218654897,44.2741083424904,34.6777372027524,27.0082905383672,22.8246025081457,23.6466935483871
