hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,100,25.4059183473445,22.7883781347665,20.7401870990285,34.6043763282647,33.5368760844807,34.9424270753663,42.6840828009109,34.2256763199469,21.2789234235723,18.0576769501634,23.6711290322581
1,100,25.5163280343869,22.7529422018033,21.5303885430537,34.6710395657014,34.3202928973736,34.5199581648768,42.9520217429246,33.6608604524506,22.9280490334748,18.4365493856595,23.5486290322581
2,100,25.0102294688172,21.9283163210928,21.8532485623392,33.6763234019126,33.8776018256912,33.7102745866612,43.6478791412675,33.374103477884,21.9199014072814,17.6833815830486,23.4413709677419
3,100,25.0455436228842,21.9862403746122,22.4106783104183,34.4010492817947,34.6073283713491,32.8653975867156,43.423860009208,33.1813731548968,20.3675165044896,15.7194953280444,23.3409677419355
4,100,24.415336919847,20.7661679114868,21.63802393454,32.4357389898831,34.1848277961079,31.2465258698164,43.091855217119,33.8277926574135,19.2245516665179,14.2870606662088,23.2348387096774
5,100,24.9771996946077,21.080472748062,22.7379217075816,30.7733681519252,33.9124373630858,28.8249918265378,41.0118103418071,38.8868078260363,17.2555981882025,13.4571141206529,23.1435483870968
6,100,25.3105960052371,21.9529636280569,33.7315008974984,23.523982874478,39.4727109046794,38.1308990578697,37.7707228968831,40.4333698456726,17.0638418857466,12.7570055208219,23.0595161290323
7,100,24.2629260487213,21.2884670265062,21.1191507150364,22.2576310885819,33.4130174315712,27.5040222370933,36.6106704281175,39.9348037728464,15.8454150663002,11.4106296780023,22.9822580645161
8,100,23.4076461449609,18.1917069971101,18.3904943739304,19.9596638273182,32.4546833301028,25.4725904746668,31.0793052459909,38.5481479244577,15.1812950934499,7.9930514527423,22.9991129032258
9,100,23.3740602545286,17.0610887930336,17.4602546880205,17.1329190910756,28.6545170136356,22.7009769789688,25.6212646466987,38.4675576163135,21.2295028120897,7.55615159941393,23.3072580645161
10,100,23.6358167914669,15.0931724741761,15.9848677494329,15.5778115002272,24.6799350079299,19.8891111890514,20.0738696193038,38.3527692974405,29.351685068043,7.33067996946016,23.875564516129
11,99.9354838709678,23.4914587544803,13.4710859701894,13.4398918235091,13.37272997159,20.0306233183907,17.8084316312387,17.9726548192307,37.4915429153561,32.7649802125415,7.74959064474229,24.6250806451613
12,99.9129838709677,24.1000091911631,13.9637990773254,13.4039850611334,14.9257340921674,18.085903070572,16.8687553403311,17.1161650790296,35.4105711023001,32.5750523299937,8.90418769189145,25.1608064516129
13,99.8916935483871,24.4820271858341,15.5481619268696,17.6171286577514,19.6298951459495,20.1596891954271,17.9781269730926,17.8597012412221,35.2103220292665,32.6146128057148,12.8810797609841,25.5525
14,99.5617741935484,25.2933912100481,17.0975197806501,32.9017456036111,22.9237410189385,35.0387484033957,35.9231434715351,19.4076779769873,34.6172268993124,31.8852096024199,15.2601106068134,25.6113709677419
15,99.4483064516129,27.5778563110095,21.5761788155917,38.967913451661,26.6374058120293,44.5319563484178,43.4819384919931,26.0735584239137,34.3466965844491,30.8915146415103,21.7097275364999,25.4083064516129
16,99.8083870967742,26.2880808602186,21.4351759823542,39.2905668901846,26.5971141669382,44.7838779220354,43.7702738944395,27.5164698744599,35.925916670111,31.4864556458688,20.7146248788729,25.2997580645161
17,99.8182258064516,26.497817062474,22.502603886148,42.4177251404723,25.8363672837833,49.0346489332271,47.5192577134212,30.3305625291953,39.2797693760642,37.3061839602269,23.2262463749938,25.068064516129
18,99.9593548387097,27.7389024934052,22.7003803767011,44.842553050983,29.5451346045041,50.9203124533309,49.7522701269191,39.4837203047041,40.1682761521469,38.0535901408102,23.5522264637022,24.9225
19,99.968064516129,26.4325872019127,22.5294575176437,25.9129711724147,33.6697323027419,39.2685448860774,40.2048557832921,41.8671896453059,40.0908370634823,36.307809385973,23.801764799214,24.655
20,99.998064516129,26.0408106544464,22.9102642767397,23.6532737147285,34.4226906484185,37.8803932385858,37.1736746262964,39.6856279653413,36.134790858578,30.2411842861229,21.3904320952754,24.3204032258064
21,100,25.6584718995614,23.4924217398665,22.8325280184518,34.8444033747516,37.2624471819862,36.8215642249528,38.9729075598796,34.4680546292757,26.829380999845,19.9262847659595,24.0695967741935
22,100,25.8989461830261,24.1955796322206,22.3027330188304,33.9894941992487,35.0378215042123,36.3614182937234,40.1002869468739,34.4111878306765,23.6915357395851,19.60335762965,23.8866129032258
23,100,25.3957542840365,23.6247227633057,21.0947075943639,33.9569122086144,33.6885967388351,35.7173907802107,41.5794760047562,34.9888804437062,22.8926529180822,18.8572692301256,23.7264516129032
