hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,95.9613636363637,24.8809958043789,20.7077284996856,24.9249451987084,33.9555199670375,36.8926182035116,40.4682875864837,45.2008437761003,30.1059170876149,25.0291354124139,18.4589435964039,23.1927272727273
1,96.1597727272727,25.2394668539746,19.5494262416688,24.4772920668102,34.0710893974705,36.4311666506873,39.4277389305496,45.2237299252484,30.3723287807819,24.9250442043532,18.472210948075,23.0034090909091
2,96.3302272727273,25.1827488824469,18.9714063159419,23.2473893732085,33.585812663829,36.1889020741853,38.5736653994908,45.0123995390587,28.7723408445335,23.1711383119146,15.5969909274788,22.8495454545455
3,96.4290909090909,25.0323914607227,16.8664828801882,22.3718705193717,32.9007843570182,35.4521771559721,37.5581464225906,44.2647141903211,27.3824007962342,21.8746156467072,13.8654156914221,22.6963636363636
4,96.5622727272727,24.6111663028109,15.5109054573016,21.5033378635547,32.8930669337468,34.7986630495409,36.6244504481733,44.2684855748263,25.7734496330965,20.6866640801576,12.8486958105444,22.5468181818182
5,96.7979545454546,24.6627454366234,15.3264362206536,19.0300348800385,30.4699769996572,34.3500287492569,33.1782640725758,41.8495523143546,28.4080736943202,17.5771793724924,10.076935927581,22.4486363636364
6,96.92,25.9827505865965,21.5038480991035,20.6137445890969,23.8217903995811,27.8865116208052,29.7862783556346,42.5983565367234,33.842354968035,15.5671423904729,10.7359522225231,22.3897727272727
7,97.1247727272727,25.7320423662343,22.3010380736743,21.8597351685533,21.5364214756773,26.1758542426171,27.3816182198339,45.4015615360866,37.4350574881534,14.9100676159482,10.0186183320062,22.3177272727273
8,97.5027272727273,25.6499618852614,21.1947325059228,20.8063470604396,19.8699728248604,26.2114504821802,24.2906379173277,41.9351774670894,39.7048255799821,14.6351422953562,8.8463670348534,22.3695454545455
9,98.1465909090909,26.7725085569989,20.7525843680602,20.0833388070428,18.7039075004917,23.4390753228822,21.778849919165,36.0453419254883,42.5893844406955,16.8636288319968,10.3146926271963,22.7190909090909
10,98.5170454545454,27.6035649082063,20.2156810625526,19.2164982780135,17.3935510657966,20.0641422503694,18.8730171548377,28.6738698867549,43.8614424351762,22.5964303787127,11.4986925111606,23.4713636363636
11,96.6352272727273,26.7632043335434,17.8935808664637,18.2248979760361,16.5586222736503,16.9809749722581,17.4713078313857,25.5438444179077,43.9420057440524,30.9399611583461,13.0763630007125,24.3638636363636
12,93.3818181818182,27.9582246250789,19.7854905066376,18.7615515726108,16.8268393451856,14.9787517894312,16.5475775104144,22.78454098636,42.0848554254364,36.6934242851307,12.9748972117683,25.1415909090909
13,92.0038636363636,28.0273243657056,20.4218390457834,19.0841734504865,18.5622996911386,15.935286742415,18.3838132307632,21.9964926233134,41.7395672014784,37.354405099282,14.3472551196778,25.4497727272727
14,90.6421739130435,27.5798564060707,20.0564974655979,19.9051510953958,18.5523751604036,15.9198790139099,18.710997718235,22.5664771878931,41.0862456363228,37.6985882141216,16.303397209754,25.7721739130435
15,89.0552083333333,28.5777279778387,20.9015912210959,21.2374220047597,22.0912177979386,17.4134916981509,18.9455437203024,22.2894645802011,39.6180207168786,36.3537403298122,19.0036207764431,25.8214583333333
16,89.79625,28.5007626595292,19.6293884013003,25.0113274615059,21.2063851428926,25.2763732652288,24.9073593079178,22.802576793169,40.9318449231277,36.5417367693424,22.6051882747717,25.828125
17,91.5083333333333,30.9612251394035,20.5985637527996,34.1050624155626,22.8961239540742,36.7167506420541,36.0096044336837,24.9740792933878,45.3579886024696,41.1283143733363,22.5155512830737,25.59875
18,92.691875,30.1292866217429,21.1062023298062,43.8343712476843,20.4356919403342,45.5533049951752,45.2413993632027,35.8580317317608,42.3162883412835,38.1234438656732,21.0393610604022,25.33375
19,94.21625,26.8852374388618,16.4331427950508,26.1899638224436,32.2549541887528,42.2642268802742,47.134236564957,47.2832127653749,48.0974773228694,45.5591240761023,25.1898219209959,24.8345833333333
20,94.6316666666667,27.7976971778894,19.2840842445626,22.6229629909224,33.9800593258301,39.2240089345522,43.9927635874907,45.1865976576076,41.7737980568224,39.5871261702138,22.6738323161892,24.3108333333333
21,94.9397916666667,26.9219043724625,23.1084511501222,24.9114417555927,34.3044930217028,37.0270141152669,42.8893516445705,44.1466870618242,37.9359555689967,33.7034347765412,22.063558686452,23.8722916666667
22,95.4352083333333,25.8072466178848,23.694693792818,25.3346484063882,34.859750765492,37.0736196771973,42.1297179695823,44.0033988904065,34.8803179831954,28.561059777151,20.2167366300271,23.5670833333333
23,95.7204166666667,25.2443177885978,20.611297359311,24.4617963985258,34.9143301896176,37.4890239889588,41.6199239685445,44.5115731433006,31.3793557084151,25.680013705864,19.3988156361827,23.3416666666667
