hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,100,25.9394008968162,22.4729162219297,20.6874272749169,31.5634586216109,32.4590497735834,36.7207348361147,43.7364788431874,28.6420635374758,22.8796270373353,19.416024692964,22.4734615384615
1,100,24.7335745687317,22.5432508116819,20.5963545166204,31.3030239750807,31.8542466163054,36.3279569534436,43.6045684230953,27.6999903102415,22.2153758963342,17.7941989925218,22.26
2,100,24.2792467822425,20.3663519409661,19.6936749363282,31.0277065793787,31.591116658097,35.6065801081305,43.0768990115844,27.998761461544,22.0364992209916,16.7289440871214,22.0632692307692
3,100,23.0334811589628,17.8916132112737,19.0936814061704,30.642384519715,31.7621034392095,34.9604339591953,42.2657369431267,27.9240429048814,20.2548842228369,15.0966467393883,21.8938461538461
4,100,22.9448373816335,16.3020558603743,19.4253364871647,30.590591088251,31.8821457010746,34.1746794800577,42.2868940804722,29.0863045505988,18.6208956327225,14.4564205255865,21.7825
5,100,23.488260212673,16.2642833035624,18.138435687674,30.2726342868701,32.7365258057284,30.1491652655823,40.2272364706214,32.686290140096,17.641850623029,13.7707684852472,21.695
6,100,25.2982253076823,20.4404594752449,22.2365412756994,21.0944586064143,29.8000148139872,28.8594029191484,37.0137542074176,38.3221796776566,14.9669730179893,11.2102308523385,21.6355769230769
7,100,24.3340683321106,20.9769708928935,19.7934209328158,21.4196027933801,28.1052665223326,28.5912283251784,38.3754697687679,38.5957799746174,15.1803301088098,11.3387044030881,21.5834615384615
8,100,24.0820664410938,18.8770686681215,18.5843841619941,19.7727789009094,26.720754493059,25.0872164640274,34.8910106717495,37.1943610639124,14.6902651647822,7.93213360275329,21.5963461538462
9,100,24.0814471177902,17.7194383274723,17.9231333197969,17.0714872341121,23.7782720109637,22.5860669801062,32.0827619628067,38.8603214510757,15.59388903252,9.09065872365728,21.9407692307692
10,100,25.779260188984,17.1081194630543,16.7845458767737,15.3035581055751,19.4635695149673,19.3159863952468,25.3653194849146,39.1057375163989,23.3778409833339,9.82205291278941,22.6130769230769
11,99.9529411764706,26.5729754201284,16.2474701510981,16.4743636936536,13.1851030517082,16.3637108859254,17.0139567683282,21.156531987888,39.6969664975838,27.7838459360677,10.7095951653889,23.5921568627451
12,99.4558333333333,26.0007556212819,16.2247492117687,15.2543904727513,13.5329662860902,14.7207183347569,16.3572161693919,19.8100620801543,39.210951945312,32.3062874711166,12.0138976910235,24.56125
13,99.3125,26.5791630681526,17.4634455278484,16.5364222452417,16.2357394536047,14.4063283652533,16.5249952024992,19.1822620983253,38.3345338119531,33.110556374207,13.8730331954844,25.16625
14,98.4370833333333,26.9414635432939,17.8018550490651,18.4745520310741,19.1090713514214,17.2329679941188,19.0770274061392,20.9729692423538,37.4612947841372,31.7876311725138,17.5139051177185,25.441875
15,98.5135416666667,26.2956448143539,17.8779666863245,25.7682132560054,24.0326290713559,25.8992928867578,26.8140494135848,21.9354172479018,37.3829729801634,32.455396314114,18.7014605930758,25.3845833333333
16,99.2329166666667,26.0792734438959,18.568064491601,35.658997553209,26.4003801073216,38.632329526743,37.2494092207037,22.2301440920972,39.1813037478994,34.245523437108,20.5513476704812,25.2227083333333
17,99.7860416666667,25.7317232779364,17.2081256100568,39.2893077614026,24.5481668399843,41.4490709296065,40.9518978847756,25.4555875247607,43.6712396854559,39.2016673465905,21.4592021786823,25.026875
18,99.93375,25.4154548804559,19.1940310627251,43.3204221734436,22.1817713746564,46.6780674329115,46.1915995238587,37.5561854669166,41.5396070519382,37.6547558518844,21.4116212354548,24.738125
19,99.844375,25.6382870699335,18.5624895552298,23.9484061846916,30.9106345098813,40.7176647880694,43.2514919745035,43.0403784708382,43.8690465497624,40.7762190937203,24.8892333591521,24.3539583333333
20,99.925625,25.4918314823835,21.0589890159495,19.515897220998,32.244316477106,36.8752581643803,39.3758799965982,41.5786237055127,38.5904832893829,34.3281648120878,22.8198010673327,23.85875
21,99.9614583333333,26.1591568682388,24.1194771833038,21.0694168565986,32.4471105593053,34.3634443548026,38.6312339455345,40.6692330610428,34.844373277055,27.9456480960409,21.7810112223313,23.4085416666667
22,99.9377083333333,25.6463289032176,24.0893549918006,20.4442339423412,32.3913639426747,33.8225171045689,38.6853919989886,41.7026294506332,32.1650588571076,24.7740442689757,20.2823044158147,23.06125
23,99.9908333333333,26.4811381764999,24.6978041905493,20.3658486275364,32.1131613263024,33.3764478305941,37.7048483872285,43.4596810813496,31.0102130927835,24.2148393351068,19.1584761438404,22.77125
