hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,100,29.5704440555784,26.7580119491923,24.5155442172685,35.1218985831353,36.1827287955058,41.2856452351038,47.421933220971,35.0791503373176,27.3682942370912,20.9169780051449,23.1007258064516
1,100,29.717199224079,26.3727372408189,24.7065620930071,34.7653721095331,36.1938473889453,40.2366215515342,47.5336999659645,34.6262841657963,26.41108955515,20.4551682540204,22.9608064516129
2,100,29.1763933857387,25.9495226677709,24.6103637048341,34.5694704025671,35.7746586888703,38.720123660517,46.9949912385266,33.3863178787173,24.7815981799134,19.8124264462531,22.8234677419355
3,100,28.718475664257,25.3516728108652,25.4997680125483,34.6351653792727,35.9486822784262,37.4293106469047,47.1242203038584,32.6181546244636,23.7863908504723,18.6194837878432,22.6861290322581
4,100,28.3429813879043,25.1417893964774,24.8696216893181,33.9895517927973,36.0358061172438,36.4036768742527,46.8592453277037,31.9807185662673,22.8721526332648,18.0529810981796,22.5654838709677
5,100,28.263228168598,25.3438483578148,25.0259173601676,32.924861015172,34.1824089269033,33.9542548097778,45.3826866060039,34.6138785841956,20.2810385692521,15.9683193541866,22.4463709677419
6,100,29.187068782404,26.5532094980003,26.2186665000207,26.0224764581157,26.6783579704335,30.3442847030211,41.9519207758816,33.9828903036187,18.9426067520187,15.8775511261483,22.3477419354839
7,100,28.4011220437638,25.3005863441004,24.9882272681936,25.8574174369027,25.3310958343625,27.0368725980112,41.1979720114797,38.4750246414112,18.153852922896,14.4439899301367,22.2700806451613
8,100,27.2939149173168,21.8244144779427,23.5231812109773,24.373488523628,22.7748859461989,25.2675572366399,36.8681993229594,39.6159410553451,17.0310652487637,12.2241838343196,22.3345967741936
9,100,27.3549041041936,20.8904252094603,23.340305961855,25.9893732854599,21.5063018686604,23.636393960011,29.8403668249226,41.326168565462,21.9059664118777,12.4551209879415,22.7332258064516
10,100,27.6220615298641,19.5873842893164,22.4683096768896,25.0922691227738,19.3598858633957,21.5674473025537,24.4889781368658,41.0983317573119,33.7319014255123,13.0914427438219,23.4124193548387
11,100,27.6098895548913,17.0683803601609,17.5955647443216,18.8908528056215,15.8158665049063,18.566108799977,21.5517628640661,39.5859603904641,36.7288836110035,12.8268204605236,24.3854032258064
12,99.908870967742,27.5891175179117,16.3485491059315,17.5428848824005,20.7430676690265,14.9958286762473,17.1402072162005,19.7031085730223,37.8138326359667,37.5176174032183,13.9727221363041,25.129435483871
13,99.7684677419355,28.3111533241174,17.7056479696226,20.3543263674335,24.7014377826993,17.4879968248365,19.6176537506968,20.4858923619744,37.8438398171708,37.5773846395832,17.2850470715217,25.5439516129032
14,99.540564516129,28.2217377973381,19.3018959535064,21.3768609075085,25.087684389308,18.8053576626881,19.5530454034814,22.1233300532531,37.7304806534309,36.1803763896343,19.3972678426776,25.7245967741935
15,99.4997580645161,28.7501404386298,20.3835047773592,21.7996630094375,24.6969372476041,18.0269647886051,20.2977231306635,23.6319769123215,37.587596200013,34.9751643463728,20.0865101638346,25.5142741935484
16,99.5914516129032,31.3190361837044,22.6181659746705,23.9747518625242,24.6969039708419,19.5354457650003,23.3009182752533,31.7108701444623,41.1703551465653,35.8807043741691,23.851211476813,25.3291935483871
17,99.7965322580645,33.1762261064262,27.0826057752051,26.5563462418086,26.2013186359252,23.8023594323863,26.0020272845119,35.1798090122956,44.3680342790733,38.3252546757051,23.6463488918538,24.8912096774194
18,99.9718548387097,32.6532795028679,24.7780712608189,24.410953349222,24.0006561728994,26.0411035631002,42.1094967586002,40.9338936264717,43.3269634240667,39.0228718591306,21.5422866472767,24.4741129032258
19,99.9537903225806,31.8931058849495,23.7633265200916,23.4913101529699,33.9648022881828,41.0918910463465,46.4993543097948,48.6243037743102,47.2820147173865,47.1695534431114,24.7940037940734,24.3090322580645
20,99.9801612903226,30.646209303555,26.497525385009,24.4549175442471,35.8227765328207,40.0368214758827,43.781715806701,47.3193514978672,42.0214136534509,39.0246024947586,23.5467125608834,24.0329838709677
21,100,30.1598271331662,27.5869914200584,23.7925092310276,35.7075455690273,37.4881690857338,42.8861319821665,46.1328368552845,40.2117890356488,36.1972196170939,22.0535500744812,23.7462096774194
22,100,29.5328977832515,27.1760714896577,22.6706727803854,35.5452087539474,36.9459182593374,42.3935727330225,45.740812706963,38.3417322768035,32.6886651412918,21.0907750231442,23.5020161290323
23,100,29.3855790961311,26.699787879988,24.2542895146862,35.4103562990257,36.5491018453599,42.1737117642788,46.4116202272138,36.7693376805922,30.3851405748013,20.8746052790306,23.2787903225806
