hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,100,30.6638555220159,28.4370057436809,24.1777682453768,33.7360788462748,35.1684724187537,40.1308065605742,47.7871381451582,38.2844938779974,28.0546510427114,20.8297850198268,23.7495833333333
1,100,30.3177483144869,27.717683525683,23.6517254043719,33.5059121388223,35.2827817340139,39.3179085731816,48.5390755798166,36.7768398738148,27.2311037296993,20.934342326342,23.6018333333333
2,100,29.4847018052616,26.3782454586661,24.0232197055384,33.3803376528619,35.9725761534074,38.2390363321576,49.1405919214479,35.9187342220112,25.9823883179767,19.7690675015903,23.4828333333333
3,100,28.9219533900753,25.2235820585642,23.8316985367966,32.4889866151166,37.3596154571746,37.0437623647179,48.6338992354492,35.6013205618716,24.0175879123217,18.6367817461796,23.3885833333333
4,100,28.3347396942886,24.3758407308136,23.784724919272,31.819957024881,38.7038575650582,35.6619605226001,48.1488068496881,37.7901086712987,21.6828164154459,17.9865937043279,23.3185833333333
5,100,28.5732104192205,24.7924358271504,24.5809335857767,29.7915824731102,36.7479086130793,32.8755046092007,44.6708200342382,42.3317333441281,19.8368850326924,16.2913168256782,23.2486666666667
6,100,29.3004453661719,26.7878547854507,25.9734852531879,25.3695973082378,26.0070346943204,29.6448296782555,40.5726830878271,41.743504070071,18.850067211246,15.4428651739895,23.1765
7,100,28.9564871390469,25.6632601267231,26.922989083826,25.6672257051623,27.2233316836605,28.3497151472611,34.2290219792505,37.7757658532115,18.9310830543005,14.3927933012698,23.0950833333333
8,100,28.6322370167001,21.97328241456,24.1411289091262,21.8075577796649,23.5892680190051,24.699156083862,29.6852168545031,37.6928079808202,18.6921679960141,11.5749100610652,23.1853333333333
9,100,28.1434044204203,19.387530345701,22.6979713631922,20.667979101604,21.2997809035083,22.12669671428,24.6499038567667,38.514412382027,21.5926546605208,12.1105365531369,23.5448333333333
10,100,28.1741585847437,17.0655271255322,20.103545642532,16.8893709058029,19.6210544788325,20.565312269707,20.1683486102742,37.8000054387674,29.1402488736759,14.2904681104238,24.13225
11,100,28.447835998152,16.6777762512303,19.5269062481404,17.0066872880347,17.5084809181082,18.8499747302665,18.2849289772482,36.0757971657518,31.9674558598601,14.4146045901158,24.8163333333333
12,99.9925833333333,28.3128702791153,15.9256333896333,18.7350424921719,15.7693540935905,15.003914866615,17.6350228608716,16.6553139046035,35.6644179354674,33.2088183444024,14.2183793053897,25.3773333333333
13,99.8475833333333,28.7716705340451,17.2089480026226,19.2629212993642,18.7413428032531,15.107605536239,18.0856573799114,18.5679417718254,34.5634781560231,32.9517231114444,16.2693677492579,25.7879166666667
14,99.8170833333333,29.8374139402145,18.5797641710713,20.4735309254225,21.0865207546468,16.4003219236818,18.933955207817,19.8564380471118,33.9558567179558,32.8485727714505,19.4697139435241,25.958
15,99.6465,32.2385794382383,25.7174969028218,26.1327192440465,24.9217428271801,22.5831516525413,22.3387607525159,25.6295148531625,37.6056425063237,34.7987904156028,22.3720136498307,25.9089166666667
16,99.78775,31.0823654698754,25.4247446688472,25.9353810141829,25.7657861590194,23.2552311580471,24.0045598854457,27.7341467703964,40.2013083617075,37.4806970858025,22.6166124517806,25.46825
17,99.984,29.5339538501252,21.5132510919666,22.1104011444519,22.8973671123366,20.8908913600401,22.9514368159536,31.4961218327352,43.5338676652579,43.5177683563217,29.75948622463,25.1921666666667
18,100,30.0352940148191,22.9040634025276,21.3789101199348,21.9321003881006,27.7622824599132,37.279114225503,39.8779456780814,42.8463836040512,41.9494618035207,28.1930150425339,25.0376666666667
19,100,30.6945099798797,26.5041873725888,22.3589090491198,31.9914131437433,42.2858810608628,45.588460392782,48.3988425294076,47.3553095017791,45.8294803807097,29.1788148264579,24.77125
20,100,31.3708147600204,29.3085736573751,22.8254108702741,33.4779670633531,39.5894368167792,41.879901799263,46.1094647457116,41.5025293939612,38.7288924401609,24.2551167594467,24.4881666666667
21,100,31.6600615258486,29.8744523652231,23.4255100731422,33.9570195029561,36.878568774673,41.2400280372659,45.2028165812266,39.3068430142614,33.22022498451,23.2883167554235,24.25625
22,100,31.4726406711828,30.1918172802585,23.5720317311866,33.8647708723207,35.7640365066395,41.410037764969,45.023984017778,39.1242475620513,31.3424627422245,22.289431751621,24.0599166666667
23,100,31.3532826762252,29.1302053756695,24.1050519400468,33.9623980776898,35.1727460724527,40.6377779572753,46.2450521479855,39.4996954660972,29.5583478796894,21.9050123412419,23.8751666666667
