hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,98.4214516129032,27.0929930956519,23.7859817860408,25.5864592613075,38.9349403918872,39.0468613567627,42.0463259876412,47.2130110261579,30.1498252220475,25.5745120250705,19.6163646264765,23.0225
1,98.6196774193548,26.8888809049338,22.8246086399782,25.5230424093168,37.4240279975695,38.6765411429403,41.0591183242116,46.5759129373993,29.24213942386,24.8061792870891,18.4404783990319,22.835
2,98.7008870967742,25.7433249511899,19.5933667808253,24.8853801245042,37.3060900193196,38.2718290194685,39.5051701812004,46.0843401554499,26.3900390450552,24.0081693279017,17.3673721256559,22.6562096774194
3,98.8178225806452,25.1953196795159,18.1042146409914,26.4808876779447,37.4489003898182,37.3731044114901,38.0462498797465,46.0176510071894,24.2826470477074,23.7051629046445,16.011703102968,22.4845967741936
4,98.9259677419355,24.9935937663043,16.2711373081592,25.0045439968108,37.0656624389774,37.1732085676434,37.1665871272231,45.9455947621727,21.1622965477076,21.7877550107856,13.3020055362265,22.3467741935484
5,99.0161290322581,24.9071079513393,14.8976248499004,20.8295414096024,34.8189741944985,35.5000595179274,34.02868691801,42.6405887726584,20.0377047623575,18.1044851556453,9.99595686474756,22.2020967741936
6,99.0879032258064,26.1349438338231,23.7387483641643,20.8575433992899,24.0867800426244,27.3946172968997,30.4489634021599,43.8678718000114,25.2781957125141,15.4676010349701,11.2490018497409,22.0712096774194
7,99.1725,25.8915983185295,20.2495763152547,21.355458230547,23.3665691222057,27.7082887384672,29.5463484475113,46.1079213863927,36.6612651696061,16.6782199123124,12.4093826530741,21.9616935483871
8,99.4562096774194,25.8945792322898,20.390590650555,20.6875204697201,20.1156888735849,25.5888183696904,24.3200286463931,43.6041234678678,39.6645873207922,15.2024659449541,9.92861432771173,22.0142741935484
9,99.7302419354839,26.178189754661,19.0200283312922,19.8015330546652,17.9739287091344,21.8019755869801,20.8739582270695,37.2728307332255,45.4551440999034,18.4438438855585,10.1240891386063,22.459435483871
10,99.763064516129,26.8378643789611,18.7909737107377,19.0236483985251,18.2963491161139,19.5175473628407,18.5183629559626,26.4470487115183,45.7889003332541,28.4003303200169,11.266609919316,23.3531451612903
11,98.3443548387097,26.3802225551784,19.5439486287726,19.3590483154556,17.6558193624179,17.4191522865638,17.6241211231948,22.9853645751476,45.3399553341259,36.7921436289379,12.7973169047373,24.4534677419355
12,96.5207258064516,26.5216968659039,20.0554945581868,19.6193216314349,17.5744744529446,15.937444372084,17.9786762320274,21.7745151264848,44.1793090536707,41.0145388298011,14.3230973102824,25.1648387096774
13,94.9853225806451,26.6100867869549,19.9775256424631,19.8591761184578,18.2937748079795,15.3136304250705,18.0581973326145,21.5743106390488,43.8041948034488,40.523773317157,15.0421795460605,25.6712096774194
14,94.0273387096774,27.4410140838401,20.0033206146255,19.3376804521097,18.7461104327888,14.7821634807727,18.2196552451663,21.8873623695248,42.6759245793156,39.7402475876705,18.1513558830421,26.0026612903226
15,93.1745161290323,28.5893620105295,21.1926684129023,20.7798797656791,24.5801302302057,18.5799371566153,19.8298994253348,21.7651981061493,41.3949637573915,38.1677681109936,20.872769758103,26.2413709677419
16,94.6516935483871,28.3968860594831,21.7364107674958,22.3869684459189,25.5527702475973,21.5670114758828,21.3146408569015,24.2630426602706,45.6768777920142,41.5101163194852,21.5348302080036,25.7908064516129
17,96.3059677419355,31.3904485905849,21.0800075408907,20.8416270565559,23.6069416475077,23.592712217886,21.966552743156,24.9895314330052,47.7511772839252,43.6421246229526,26.6262430013606,25.5658064516129
18,97.1104838709677,31.2424260531111,21.3466916186238,26.6711466198138,21.1134101237112,34.6959649039461,39.1296408393186,36.0744163436565,42.4478843461191,39.8744301092054,24.1245817318665,25.2732258064516
19,97.9895967741935,30.1686292728841,18.2941404117088,20.730718780298,34.8184761679237,42.3331180989583,47.0858700227644,48.8739485717257,47.6017965194445,44.9915915284992,27.6716651592501,24.8902419354839
20,98.3054838709677,29.6645499347236,22.0857656356436,23.0782918655144,37.5814087859731,41.0284575206927,44.8030238406871,46.7640856729852,42.2608274102208,40.2436073572528,24.4437743645164,24.3900806451613
21,98.2384677419355,29.15894362487,24.0764202903166,26.1378163374162,38.3065457524912,38.737151360025,44.3002581276621,45.4524743035658,38.90365058033,32.6743796827711,22.5642005912259,23.955564516129
22,98.2971774193548,28.6680965221309,26.1366402412114,26.2415561455645,38.6493191415372,38.6673060157389,44.1029527497694,45.5247486896868,34.5667323196076,28.4065865836136,21.8472330931794,23.5884677419355
23,98.3787903225806,28.3185898303833,25.1504434663574,26.105492580213,38.0571286847905,38.5614379814495,43.1630494094483,46.6445257980486,31.9811784651845,26.3499782248799,21.061485068721,23.2835483870968
