hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,100,33.0848014600173,32.6520991464111,29.6671990527557,40.5911516949668,40.7151432698409,42.3161791648706,45.3035762402965,39.3217046881337,27.6632268076453,20.4791399558844,23.9387903225806
1,100,32.7437887824476,31.9969246360955,30.0554793777804,39.573229554148,40.2104791197876,41.6723989768195,46.2439721352088,39.5524304358099,28.4219178771713,19.9859350055959,23.8729838709677
2,100,32.3430332826479,31.852049495405,30.2480556390247,40.0903272667413,40.6495995586531,40.9053148162178,46.7009505523053,39.706754831772,29.1871475703286,18.983511486384,23.7948387096774
3,100,31.5444967297762,30.4622514778188,30.4931204090452,40.2150178552514,41.4138795322611,40.0381543165305,46.8467497413018,38.9425848453715,28.0882878297514,17.9069702222088,23.7041935483871
4,100,30.748603635689,29.2305543077398,29.2153111098423,38.8266450440355,42.2392062278179,38.1936792909038,47.0431143620102,39.8973956652795,24.2605931233821,17.0670378480629,23.6312096774194
5,100,30.6175348088594,28.0596388675539,27.995365737101,36.1574575838116,39.9383130796176,35.4537477483536,44.3134529909815,43.3804371743765,21.4277864679982,15.015624418402,23.5725806451613
6,100,31.1111499235315,28.806816708759,28.3628437219174,28.5349794535507,34.8959067130495,33.6633846813332,37.5458128110738,41.9645566214515,19.0621254514509,14.7933863154816,23.5149193548387
7,100,30.0066815923122,26.7472959618364,27.7279093583842,28.7682505624527,40.8864835849079,33.5954747649804,33.4419813861978,37.4069932452579,18.4720348372222,13.8441168563933,23.4508064516129
8,100,29.0560052364871,24.1702398209741,25.3560386443058,25.4599782258311,39.3405019852202,32.3389844007709,30.1687786993328,36.7225842955372,18.883699539182,12.1306860340887,23.5411290322581
9,100,28.6351188330471,21.2575311817779,23.8084860080384,23.1529619538342,34.2036919048239,28.1949303255243,25.3944269901309,36.0829898419498,20.9952009044919,12.903866915014,23.8448387096774
10,100,29.1225306541345,20.2229266634791,22.9985903050828,21.3843100177235,28.8541351000351,25.986118331279,22.6841407993142,34.7457368083434,25.8436422477031,11.7420049424262,24.3322580645161
11,100,29.1687867192701,19.8870131085284,21.9832904900788,20.4627095103978,22.7534616666673,23.1407326967854,20.8739677352294,34.4007189210735,28.7606221745383,13.7877214399346,24.8548387096774
12,99.9766129032258,29.7443050947296,22.534151494057,23.6841621829756,22.4016703829068,25.4851966096148,24.0566301697183,21.6370920039541,34.2792361121641,30.3150989488027,14.4391510823526,25.2507258064516
13,99.9545967741936,30.5125899236644,22.8359914204049,24.0064962391553,24.1173558678307,26.3488772333489,26.0345508371735,22.6832477841375,33.9226697640352,30.4878384175306,16.3827164949643,25.4551612903226
14,99.9537096774194,30.1075777559439,24.51581035849,24.636191346225,26.9875723560872,27.5914753462863,27.1388814849711,24.2264313747929,33.857273109947,30.6216083403923,16.7360489196179,25.5152419354839
15,99.9166129032258,30.9141256723694,24.8550187785282,25.3582430745512,28.1491927635482,29.0119671704439,27.9194308579698,25.7174477383939,35.0338134236253,32.7347424372967,20.5678369251155,25.5492741935484
16,99.9665322580645,32.0925973336177,25.5708400184953,26.1646043365742,28.0513306251234,31.0409431089248,28.5040744143552,28.1907173577971,39.3068213199633,37.1777116495638,22.5736650474717,25.3652419354839
17,99.9441129032258,32.310571921382,25.6563393716331,26.5857885775374,27.1929057559097,33.7367753703346,29.4745229109462,31.5146791661983,41.6016491971133,40.4878656386066,25.3148574399986,25.1881451612903
18,100,33.7064765941633,31.3407617426602,29.780673208488,27.1928238378304,40.468290927615,45.899421492984,41.7599806188231,42.4873529262519,38.8297571285491,23.724216405679,25.0048387096774
19,100,36.3346453675012,33.6962855065492,30.8933479353949,36.5458583755422,45.9602655016108,46.977639538017,47.9632138351079,44.6834103602029,42.6098097069989,25.9063485195461,24.8108870967742
20,100,35.1567243003533,34.0156810239485,29.981783377518,39.2287223619001,43.5802701242293,43.5447840296449,45.4990587714448,39.9991184779106,35.384311565694,22.5711328649891,24.5556451612903
21,100,34.6304804732251,33.9604051681626,28.7533678244403,40.2358282534862,41.7447602218375,42.8761301468353,44.3199767117213,37.9751709708129,31.6671066878768,21.2303613409689,24.3324193548387
22,100,33.9883464043343,33.4543885325045,28.2627870951612,39.8343070766646,40.8084469110183,42.4500260717276,43.8962432444738,37.438774127978,28.2248130473667,19.9165281184694,24.1712903225806
23,100,33.3822793351785,32.8193457033319,28.9290112588699,39.620435219679,40.7638784423634,42.51913316706,44.9995463009371,38.9088945947983,27.7249804192254,19.8074569181123,24.0366129032258
