hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,99.6895833333333,26.5674798543126,23.4655451836053,21.5222938970015,35.7067329668972,36.1273546694337,39.0510177597508,47.788296758316,40.4943671293066,29.010158079554,27.4736530281883,24.1748333333333
1,99.7908333333333,25.2862355631235,20.0817418680944,20.7786398575757,35.761978262235,36.2900925353002,37.9742539003804,47.8869063324731,37.894524951591,28.7712083981817,27.755074347171,23.95475
2,99.8519166666667,23.8546616233394,18.1477891401114,20.0322160473262,34.5455909712802,36.2132284597421,36.9304636669175,47.5903112585817,36.1382643293368,27.7416693298834,26.3489718421878,23.7478333333333
3,99.9053333333333,23.573093962309,16.2433742115469,20.5426534835971,34.2949727877418,36.74509263883,35.2376839726849,47.7981555207937,35.4491109016742,26.7004489659858,25.8705543372616,23.5519166666667
4,99.92875,23.1982138321171,15.2906952317254,18.8651313027527,32.3297971174926,36.7289438251113,34.1549926896793,47.724646907936,38.3544969409129,25.5906518158185,22.7062521436846,23.3955833333333
5,99.9605833333333,23.5766231972347,15.860204474834,19.7785758464206,28.1188927085382,35.4683844131337,31.4485709716613,43.9384014029145,42.2600389673182,21.6576798519144,18.7109183667942,23.2471666666667
6,99.9766666666667,24.6679050687104,19.9883152012139,22.4521182024174,22.3287195705295,26.3529313372043,29.7744598613546,45.1823467019878,44.9186838310996,18.3384939208866,14.8495856763027,23.1384166666667
7,99.98725,24.3387647326531,19.7873993829821,19.5945188936578,22.2968001896636,24.2766471992348,25.8153280824226,39.4826671819519,42.7409271224173,16.5540206303725,11.0256794813146,23.03625
8,100,24.4063913257927,19.0719865682387,19.7269932268471,21.3423667236363,22.4320368251552,22.6106266839817,32.6083464341224,42.6687313215404,18.7087154011855,11.478522555069,23.1245833333333
9,100,24.438276254357,17.1285849280597,17.1069364442195,16.8379323897144,19.0724848959798,19.4508640279907,21.1522223284892,42.8798063774765,31.2380774228818,10.8560961404631,23.5651666666667
10,100,25.3085180908107,16.0304647996026,16.2539906350151,15.6832084857724,16.2344718028455,18.0164500222042,16.6505614084198,40.8226596211455,38.6410498148598,11.7983176615042,24.3450833333333
11,99.64825,25.8731950965929,16.2981455401884,14.7940962237593,14.6241284111011,14.0446225333689,17.4947714904476,15.1196064129283,37.7288263392908,40.5444235873026,11.9487217628309,25.4926666666667
12,98.4408333333333,25.7185725142899,15.926300396168,15.0006209786984,14.2381014023451,13.0727309520091,15.8759086826671,13.9295039224862,34.9065012546308,40.0833127417812,12.1519483080195,26.34125
13,96.148,25.1915470829804,15.6878843204524,14.7926657380536,14.5361710952991,11.4293336955801,14.6457549202837,13.2446917857715,33.195695492018,39.9925876072475,15.1198435931162,26.9575
14,94.6605833333333,26.3657793678593,16.3676300174759,16.2064860705752,15.8819872941858,14.6557633410265,16.9294084654887,14.3271292243209,32.3563425474087,39.94765410954,18.8054288968065,27.22675
15,94.38625,25.5704751924212,17.464641209978,23.8666591047379,20.0749997854925,18.8610889449903,21.8326023904813,16.8128840422983,33.6661397350764,40.3041887181333,26.057490657872,27.14175
16,95.6578333333333,25.8390119957471,18.2283010927723,26.9636946308694,21.7010832167971,25.6471065881837,27.4240804004661,20.2362272768262,40.7916780684036,46.3038086252034,31.8498443029371,26.7600833333333
17,97.22075,27.3788051895906,19.1539472956618,31.2212663302173,20.6613799250527,36.4009173310873,36.1739011739203,26.6103877650791,44.0618920738913,51.011961467858,35.0636147531786,26.42675
18,98.1868333333333,29.620449976571,20.1791829686252,34.5106678880899,26.0436057275175,42.1736439253215,44.8462652939965,42.8540332209556,43.4571198650223,43.6557048042304,37.9110857973036,26.1309166666667
19,98.9181666666667,27.5022568777335,19.9015669493434,20.116430704244,34.262278571785,40.8702340812454,41.1954737933766,42.7880749738446,44.6416145565423,41.7839731852644,38.1290357453262,25.73825
20,99.1505833333333,27.7337863807786,21.5410098671473,20.2420347301863,34.8150209218535,38.917950998962,39.4377284555961,42.4075069055678,42.2240650132874,38.6468259283959,30.8420631712033,25.2770833333333
21,99.4243333333333,26.7796716477234,20.3492258296612,20.6447990711049,34.9457167036339,37.968054344794,40.0129639668761,42.9378258091811,41.3520582481333,35.8233629441814,28.3853767694782,24.9130833333333
22,99.5303333333333,26.2299786185204,22.4145626030187,21.6908441766456,35.3370780462268,37.3259336772628,40.1194011172322,44.5886773425234,42.4422666085336,32.0432798772809,27.900558307136,24.6439166666667
23,99.6576666666667,26.3856123102351,22.4245097828454,20.6806854304281,35.9985140275295,36.8541650605136,39.5906987268884,46.4677078794005,42.5122886933472,29.856370077495,27.0143572934585,24.4045833333333
