hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,99.6260483870968,25.3598530078677,19.2083478476024,21.8140482960888,36.4012208416917,36.6181567481816,39.6194802058588,47.7832902460925,37.7737655168091,28.8009221003797,26.8697981839543,23.7090322580645
1,99.7123387096774,24.8072838615688,19.6957547107402,22.8677107169952,35.7402590073324,37.1260271047328,38.6358151675652,47.9009057730582,35.6808297253964,28.1395049228954,26.5464534774999,23.454435483871
2,99.755564516129,23.8933822476804,16.6668238959652,21.7989624524138,35.6094015901207,37.0859100517262,37.4460025364283,47.7429232358563,33.9369099216642,27.768748084439,26.2825709821681,23.2251612903226
3,99.791935483871,23.5848422343485,15.2665308552204,21.784554174974,34.8276115303334,37.5449044321127,36.5631480950355,47.485171057273,32.1748976139551,26.5094102995105,24.4554244122584,23.005564516129
4,99.8177419354839,23.7367062057285,16.3587557048595,21.4311371706633,33.9845133168065,37.7050974986858,35.5828551985819,46.5699832060331,34.1002764322611,25.6150598398538,21.9399652088372,22.8212903225806
5,99.8841935483871,23.8287577913191,15.1904635194115,17.4905580725796,30.5831976613349,35.9011414382859,32.9095402618902,46.1648200740141,40.3346991700751,21.4349341281961,16.5129377949193,22.6757258064516
6,99.8999193548387,24.9716331835236,21.7774227592841,21.0133290803933,25.7206852520882,25.9970137912195,31.1463424057731,49.625790735308,45.0917830464413,19.2586306989421,15.5182430123414,22.5412903225806
7,99.9554838709677,24.2072966319862,20.5960396523519,20.9737771923273,23.9749401489421,27.0914774357664,29.5961331101538,45.0260913103935,45.0307962732255,17.3720733728107,12.1541678859101,22.4358870967742
8,99.9942741935484,24.6539237047358,19.775528051793,20.2257022892204,21.3524035982773,22.3293935684711,23.27850352444,38.6755337291855,47.1949917026878,18.5058039655964,10.727706974039,22.5666935483871
9,100,25.168560213005,18.1153492918158,18.6358881565326,18.3389592213909,19.0829008051147,20.1246493961062,25.8576259473814,47.7200834183176,33.1290582290761,12.1425789493558,23.0683064516129
10,100,26.2045031796187,17.4662400300053,17.6760791173638,17.1196763086366,16.6295173023671,20.322337097397,20.7049668380445,45.2174347798709,44.4635204839348,12.6805964944752,24.0301612903226
11,99.5670967741935,26.3171944566167,16.8349838873551,16.3496297777497,15.5997466311082,14.8097219936718,18.518745522904,17.7867914985536,41.6406983823613,45.8202829844018,12.6302270160353,25.2713709677419
12,97.8352419354839,25.7125793198611,17.2838462879241,17.1994721090882,16.6172838381285,14.0638523529937,17.4355246063511,17.3706963095342,39.4346469910765,44.3162294115351,14.3405686908218,26.22
13,95.4584677419355,25.6811408983224,16.2937027521973,15.7205529728351,15.1147076652752,13.5540367008763,16.5606797180642,17.4378591972518,37.6365255611401,43.6073913484386,17.4838366187726,26.8474193548387
14,93.3693548387097,25.6149033161236,15.6642493466043,15.6444608801041,15.3401969021632,13.0529120587224,16.868170313293,16.0956146032137,35.4209766681107,43.6259817132697,21.413146799503,27.3092741935484
15,93.3283064516129,25.5426438121315,16.8192795297797,16.5438366927135,17.0577067600697,12.5642498816587,15.3072754572413,17.0763834494418,37.0075798854578,43.5504908753873,28.461857435157,27.1511290322581
16,94.5628225806452,25.8518626915319,17.8868389413819,18.1620111903952,18.8793793913478,14.2809541350308,16.1946343558961,21.2694302641161,43.7106061787443,48.5599331874435,32.7597902576744,26.7404838709677
17,96.2771774193548,27.2787710189206,16.861184320582,15.8419410400106,18.1451438915091,17.9364676864718,18.7392988585822,24.1557015733946,45.5012489562025,49.4734302798964,35.6557346215801,26.2284677419355
18,97.658064516129,29.8325381272295,19.6424578171068,18.9795045283457,24.5341110153529,38.5364371156864,37.7499365819987,43.9394691100015,45.0130091823444,42.8051633798313,34.5005716723152,25.7541129032258
19,98.595,29.3273695829005,18.4206209913442,18.1288450859783,35.5661666783201,42.7310257608852,43.24325723464,46.4730393231055,47.2934767020714,43.0421089735438,36.8979110670294,25.3375806451613
20,98.8845161290323,26.1201363934308,19.7120082020209,20.5709833410985,36.2707893514739,40.2563369261711,41.426571336503,45.2526177331298,44.0705060921652,38.9287118756131,29.6701794807346,24.8677419354839
21,99.2866935483871,27.878428692645,23.3536123143959,21.2274661261984,36.4145050768865,38.5653625313201,41.4017302059593,45.1640532109631,42.8176183347382,36.7812973607473,28.674547465392,24.530564516129
22,99.4916129032258,25.8500040002265,22.3746852814453,23.0255960083071,36.7829769146025,37.5136676761497,41.0285637373599,46.3686022125037,42.381452598497,32.775759754283,27.7123879407099,24.2903225806452
23,99.5436290322581,25.5076139857707,20.4681312272804,22.8562735105937,36.9978824412373,36.993228331421,40.3774240651275,46.6005419783997,39.6613959348924,29.2749883118572,27.210197030805,24.0273387096774
