hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,98.7760833333333,26.1589545395649,23.2053121613946,23.1730758125703,34.0576117997499,36.9385097436029,40.0106446375155,44.8577149096558,37.0020783829538,29.7354089260434,25.8975669913739,24.1145
1,98.99825,25.8412220048294,22.5012667079395,23.1800756271937,34.2630920371198,37.0846021870173,39.2974670555345,45.4510543469548,34.0565815196643,28.8815607977662,25.8344793372896,23.8733333333333
2,99.193,24.7818378384467,18.8541085502816,22.7480445978429,33.7457579087041,37.2487920707172,37.9790361148611,44.7492163922659,32.3977464820656,27.7517231870037,25.4314732515238,23.6498333333333
3,99.3288333333333,23.7394941397503,16.0566124477137,22.6956848980305,32.6114428022755,37.2456012091792,36.663445172911,44.5339893461654,31.0254113176195,26.5926684810145,23.9157354597099,23.4425833333333
4,99.4718333333333,23.2525292202566,12.7659894548621,22.2393176661991,31.7951304833499,37.2541784103608,35.4127908970096,44.4211865312011,33.6417109238453,24.9620105457409,22.0974367008041,23.2581666666667
5,99.5555,22.9452036232616,12.1114708816823,16.7830290414658,28.3966669032174,35.5211531425216,32.2012710739185,43.0334161570749,40.4982368345,19.5133707632425,17.3895287106402,23.0865833333333
6,99.691,23.6385576116937,17.7958341251494,19.9237073932837,24.815585002862,26.3833173695955,31.2218640594865,47.2772187536504,43.5594297830646,20.0708604361407,18.290408210219,22.91725
7,99.798,23.3648954721697,17.8889854634337,19.6670381985384,23.4328522662956,22.4208553716437,27.7680876192739,45.10762103433,46.8463906310802,20.5115347402497,15.3645490724394,22.7741666666667
8,99.9196666666667,24.2307674854374,17.3066179781809,18.7484397348173,19.4877079176442,18.5703177024527,21.8122190417773,37.4886502802094,46.0997948025365,19.9819223823734,12.4388949439748,22.85925
9,99.9850833333333,24.9080763349896,17.0448846769968,26.3573027859218,22.3374878267002,21.5770313096194,22.5028525024793,28.7417283378413,45.6251016070568,35.4658157706404,15.5680580888931,23.3615
10,99.9851666666667,26.4918948821829,16.9814030389751,34.6088383321981,23.9668943887206,19.6721769745248,21.8848572935393,24.2382698743263,43.9936740918421,44.2799764852422,16.628127880733,24.34175
11,99.21375,26.2030757286457,16.4826347127835,31.7803993477232,21.2579290500691,15.1284114725143,19.634300456454,20.2489011563974,40.5974313734347,45.2899129681768,15.4643430813221,25.5818333333333
12,96.3755,25.2332379118863,16.0228367652433,21.5848879393478,18.0732636184844,13.8652810777544,17.927690341204,17.9707469805659,37.5208784933443,44.1578701039665,15.3641841859162,26.5615
13,92.7895,24.5014914774255,15.7564226279916,34.1675479074827,22.2448077152143,13.7045652367282,19.6786705728164,18.6055491367234,35.311351670322,42.9417041263361,17.9888840026669,27.3300833333333
14,89.308,25.0691768593038,16.4510945191584,32.0004489684751,22.5880003449037,15.4693389340882,19.9138236606661,20.4474325155125,34.4107195840631,43.3967751203684,22.7621500278865,28.221
15,86.1965,24.9585168180214,16.7505250516226,30.0998536028555,21.2799054233738,14.819941847177,20.2215920121443,22.2569188527172,36.4466785808214,44.5433804201771,25.9309135367059,28.808
16,90.1588333333334,25.5634849841838,17.4744542703365,29.2497563062209,21.1301225827154,13.8609876608297,18.8230500507285,21.1326521036018,40.5574571929666,48.0351003595033,30.1190355082379,27.54125
17,92.39475,25.0583318249969,17.3422161024501,22.8353724598149,18.6684247997893,14.0005219406962,18.2530619827267,23.7598284337674,45.7138593973798,49.8030934805165,32.6192736236773,27.0995
18,95.544,25.0184177474461,17.367631026429,17.5316868980908,18.7879720276402,27.3269408642279,31.3978406593016,37.4275114134853,41.413163208385,41.5818868906531,33.0218229391821,26.3326666666667
19,96.81725,25.6450421433443,16.6430984967475,16.7418139051025,33.4028803202817,42.7226826029105,44.0913966348934,45.3313946963813,47.4640009665755,45.7307025797801,38.618586132454,25.8229166666667
20,97.4925,25.8068360121273,19.4806956143293,19.9821587458842,34.0685947098349,40.6126693045883,41.1565750254851,42.4303521239366,42.5336169166922,39.4156325396362,30.7454271641198,25.26375
21,98.1275833333334,26.843138923153,23.501662959953,22.4258948669721,34.8913876537247,39.3102347690685,41.2673469175547,41.9868468484691,41.0834827013687,37.6863512843398,29.462333867041,24.9036666666667
22,98.474,28.5855588703502,25.7411947288007,22.7267809644114,34.6494126977034,37.6924680444335,41.7470012673188,42.942036744552,41.2546928336238,35.0521547106191,27.6490709265552,24.6209166666667
23,98.6039166666667,28.1823153765051,25.8765325179543,22.9100518558625,34.786226447612,37.2570549895218,41.3089008944917,44.7564074603572,41.1674714963457,32.3773933159186,27.0851329799927,24.36325
