hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,86.355,31.876623397016026,11.735707263073873,10.70512148722666,10.682540814975512,10.80431685234251,11.231704475540504,11.163170774766977,10.63278221498865,9.618879933084404,8.762251659229992,1.3900000000000001
1,87.2,30.70298884326289,11.685076429759993,10.713319682200364,10.70235044651187,10.814638670260546,11.225586891862378,11.162232098664786,10.65268220391518,9.638053790978038,8.768287635973739,0.81
2,89.42,29.13371912590938,11.708950703534304,10.722975929381587,10.69001997952302,10.812497537653401,11.211375026223587,11.164385563612585,10.636212184968773,9.62084542792649,8.772605574773031,0.51
3,89.42500000000001,29.77608514184568,11.901828091536174,10.741569044351426,10.703944605635968,10.82581927676447,11.225822953757847,11.17322132109702,10.653301333795199,9.634827521549592,8.785376855557766,0.6
4,89.715,32.35085773749256,12.051143867538697,10.720967433943244,10.688460868795,10.815331877648726,11.223841312130165,11.15237296328022,10.621822327855147,9.621221618857735,8.772786546588948,0.43
5,90.31,37.01482454672842,12.328097984574597,10.989323869621547,10.776349250001548,10.856223907063077,11.241709967624198,11.202546072365225,10.691230715448867,9.667350529201318,8.792733503579036,0.21
6,90.86,41.45482427403746,20.379302004903,27.953196915526448,21.065316341217567,15.277504170231474,13.902627213152796,15.712469700316785,13.56309505939872,10.002410441084043,8.868520950194803,0.13
7,90.345,46.02612327820155,20.587156431345974,28.54375322253119,23.02472139269521,19.080377006334697,15.081837595790937,15.91307929028429,14.81184517400121,10.478763654728894,8.86454566854952,0.38
8,87.76,45.03215130742774,18.723039320368166,25.77892447803077,20.401104258854645,19.609310411903234,14.995588145462916,15.177620807175582,13.175453250084082,10.277700194294919,8.833683147229298,2.125
9,83.47,45.217840317523276,16.80128062408511,22.3852955860748,19.684370153197325,21.56823134249111,17.412886542309383,17.72644381499497,16.707222670108244,11.707170668555275,8.961451557625374,4.59
10,73.98,46.603467387777464,17.8354280722117,20.805623540307128,18.93592875243512,18.31379837060034,15.071922880717015,16.0343390245007,15.739664251240455,10.875749771782646,8.952662830969382,6.39
11,65.27,47.723253443813974,16.734122121337634,16.639171738025347,17.456850837320214,18.733514737077254,15.09937014073238,15.088874366548369,16.312447034286212,11.998220091757323,9.104981060702388,8.53
12,63.65,47.63763093150003,15.844446071631932,15.916532107721702,16.716601894298087,18.95209699927318,14.488655002128604,13.542890712267008,13.209603455964505,10.29459674480571,8.974133871653928,9.434999999999999
13,66.27000000000001,46.09759994315385,18.43134911282604,15.439961787840254,16.756466354043955,17.370877565424138,15.345778980309557,16.14470897468557,16.144813970264995,12.060066111586867,9.449060578171808,9.05
14,57.510000000000005,47.39391703242545,20.15045745449821,15.785847552410832,16.485652959451233,17.115700751810095,14.949502780885869,15.063060262141402,14.031930157261005,11.457416158781765,9.65757331791226,10.379999999999999
15,59.260000000000005,46.21796715010403,20.33417187049705,14.660108984338212,13.797162647861308,14.95097858871081,13.219566867105376,13.94286862726505,13.40684028100516,10.957556246150483,9.21733144890418,9.95
16,63.635000000000005,45.745553258085074,15.853826886341475,13.462596074799873,12.698518539829024,12.952658527344632,12.234105943974185,12.532093034852636,11.930595078149352,10.505214136320038,9.135519864585715,8.855
17,72.42,45.15374744130165,14.489273006957546,13.506068774946769,13.198357307687045,13.471858102334387,12.131119032328288,12.42243390646839,11.815555737066905,9.994663969166687,8.910005599192093,7.29
18,77.71,42.1942416066413,15.131438869690655,17.468648210020607,14.672736329708464,14.237584655850176,12.423204958070949,12.522395550827738,11.89324036879447,10.228321014507287,8.91361010221146,6.26
19,80.36,41.620404686219175,15.508679864594146,19.102559630186363,15.123867531369447,12.884867507590993,11.927138311172687,12.155898660206805,12.497932150671735,10.10773792997535,8.811907691119636,5.66
20,84.315,43.335545689856275,16.842387562379358,23.252763369910866,17.70733738493732,12.37967242241406,12.066286080329078,11.993413563909355,11.38119919543292,9.789834606382236,8.794524894725935,4.2
21,86.06,44.37309846394476,12.39450960645113,10.899264559967213,10.763746795464153,10.844440627474963,11.252023409670553,11.206233026526153,10.683328699650074,9.635303852320813,8.759271095002356,2.91
22,87.535,41.63117978288555,12.023147224150742,10.72087799155041,10.693448453274332,10.80641391325992,11.232757183200004,11.183395642208069,10.657670619749684,9.638896254523171,8.773294148396218,2.14
23,89.51,36.707584136418,11.871798484894487,10.74390005377372,10.69818249143018,10.819889262116067,11.227771954609713,11.187777641042123,10.668587396934887,9.641741871287417,8.777071023160321,1.54
