hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,99.9,31.377725169258163,11.920174544552303,10.810840319245498,10.81284763831778,10.933311955163447,11.276007411047111,11.185944427104214,10.636688719656057,9.596242072376302,8.758531878842106,2.4850000000000003
1,99.98,29.697921104675647,11.801260388483328,10.791470589379802,10.800772254375882,10.913180750607356,11.292776978918262,11.161906039994335,10.599557648892057,9.579370309563775,8.70139419899586,2.27
2,99.98,29.41660724410814,11.81008619528097,10.793168909719018,10.797063763346536,10.907806383040652,11.282818553822864,11.156121201056934,10.613018173249621,9.6000378700221,8.74655107036821,2.035
3,99.98,28.019081214363457,11.701185401027377,10.775642314388964,10.778150573944519,10.902135288327647,11.284452882388583,11.133608863287417,10.591906458495552,9.58732900740953,8.73694441571185,1.905
4,99.98,30.093294106004222,11.674889684747384,10.788229670776627,10.789659038899142,10.911564211057428,11.29120827743302,11.161302945000884,10.624993545648241,9.579926062909943,8.73099802661126,1.545
5,99.98,34.318103991511144,11.716630136809624,10.778322854153753,10.795837936767107,10.921907042379326,11.298564490443546,11.174328127187632,10.622445050496996,9.594855595000128,8.752114413482953,1.41
6,99.98,39.75051150162608,13.326899848895437,12.057118261196077,11.961674997074187,12.333428002451491,12.052568189995059,13.381953905822535,12.620414009675992,9.896024812148678,8.755499126173646,1.345
7,99.98,45.74919661020074,14.987787606214251,15.599605021385926,14.972448503204912,12.90545233706228,12.93319674500535,13.012182622647968,14.408115727336456,10.259993674470449,8.797434304031476,1.155
8,99.98,37.680608893739,20.27993088990975,18.275119986577362,18.119797970571838,17.4329495911376,16.906613229359614,17.73922753130317,16.583858011978503,11.734342017230826,9.290545131977744,0.96
9,99.98,42.97261681981655,19.683841400173,14.252839476362258,15.959122655170814,15.180750622656861,14.076407175575802,15.878350291312788,17.10303784671916,12.9088316297019,9.326100472737403,0.96
10,99.98,45.81073260072597,19.051136843875422,14.755365041628822,14.358242071309482,14.160375377611691,13.856936274953059,14.202553336539797,14.870384929486889,12.633336072782566,9.240335629236423,1.6300000000000001
11,99.98,43.499153709237284,20.678965379398292,15.552099480858384,19.39154910900994,16.64085559446739,13.184003255414137,14.038515020961754,14.880218208550609,12.165117631648119,9.699553750905885,1.905
12,99.98,47.8011516438121,20.562386405174067,14.999504643522425,13.585303849294377,13.045849279138384,13.261134697836917,13.815744517382004,13.704169185706412,11.726619147927838,9.898470024018618,2.505
13,99.48,49.70034982817195,23.655227625942267,17.329028621756876,16.17712751579549,15.33559070927034,14.768741824529034,15.903831078599765,16.169724551709002,13.542669739768012,10.795285064712106,3.385
14,98.41499999999999,47.33692000876002,23.562080548965753,16.93058208159149,14.232673411928523,13.78030721769126,14.26759205570172,15.881427542118622,16.086871824243577,13.336116778402731,10.518738357525695,4.075
15,98.465,44.701282680950285,23.50408494608414,17.291429699320126,16.079770092515304,14.995570354228068,14.551164410179394,16.033859663435358,16.603311439498604,13.14240154975983,10.653117473994953,3.665
16,99.015,47.86760624139452,22.434491814354615,15.61087158268259,13.993889732599538,13.301065344800143,14.381460686242246,16.203972247814534,17.351028043130498,13.129396046309665,10.796098908564385,3.3
17,99.555,50.31576602271934,24.0001047143018,17.419428535999167,15.306377771961209,14.75838740742046,15.749207236747377,17.076677357154907,17.245264898627266,14.550612359551579,10.576740190778409,3.17
18,99.745,46.63446133101988,25.053737954463756,18.85763235062904,15.890099353742324,14.967409852469883,16.50065103303875,18.614256622913402,18.463093033424897,15.393591117295202,12.311653135776915,2.98
19,99.83500000000001,44.18033934932307,20.331259157721714,13.096463381991747,13.800268466275678,13.238454730879775,14.908858539140589,17.12220313465299,18.126133200798872,12.7777956761993,9.845936178453002,2.14
20,99.98,42.90727051482673,15.621048351105966,12.13414945074283,11.745610759929605,11.332377938618098,11.749131578786464,12.147208380229866,11.982160967249508,10.249633747913395,8.999490645821805,1.8599999999999999
21,99.98,38.887591143417836,11.959436048587634,10.806026252663425,10.795832250390056,10.915744001447342,11.374077546616594,12.243750769207786,11.849324121096537,10.043948882757366,8.843403188607715,1.865
22,99.98,37.52549727350764,11.998256389403998,10.800429707791315,10.784753439348005,10.961111941547756,11.428504219933416,12.654136044597116,12.392803145771744,10.125410835839991,8.905170677204733,1.735
23,99.98,35.10075140018836,11.763655391975155,10.814117449193724,10.79760662268075,10.918990941465804,11.339630069997025,12.257304057231721,12.45690487110925,10.120896992209712,8.908692368894911,1.67
