hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,99.98,36.78989508032277,11.89080812865136,10.794753717966293,10.740077533390915,10.880244242010512,11.329013091225235,11.282705598446052,10.792107283947496,9.727294929043376,8.832311224011029,-3.48
1,99.98,35.210395455848925,11.683790242287026,10.745364703944139,10.70515360935426,10.844076812359734,11.282890176351927,11.224488317962024,10.772244336067484,9.702441944153655,8.831334440115038,-3.43
2,99.98,34.50795588562876,11.847670973154584,10.789946685643878,10.716154561782165,10.833982067614146,11.297640558075758,11.25246705420145,10.729425049783345,9.707220860480973,8.791253933250944,-3.35
3,99.98,34.428037886190936,11.7430587025478,10.75756411667797,10.702450128530565,10.85324560778482,11.27308534388181,11.20977116979929,10.677858475815476,9.683372942406972,8.797448986687932,-3.56
4,99.98,34.7151660089891,12.370212508399234,10.812573047091476,10.746928928945486,10.874378632595038,11.297449670665102,11.263792443603537,10.753777050659787,9.700599465094818,8.816775479232659,-3.74
5,99.98,35.99975734451827,12.118357770483996,10.819513090831187,10.744970307553896,10.867449462398493,11.289389275219715,11.256219093250458,10.697436425800685,9.693592375601222,8.797543935553726,-3.99
6,99.98,37.5505604380752,12.354178407976127,10.78298193821567,10.745920911495919,10.859185928684113,11.277226348601575,11.199604409152077,10.700712157497794,9.677207890151617,8.809042805920988,-4.51
7,99.98,38.7599505432223,11.752297112757507,10.7415956623808,10.695695341722072,10.839861216792936,11.269878985778641,11.192759441719115,10.661533432289138,9.664956975702824,8.790385989365252,-4.699999999999999
8,99.98,43.44876727259178,12.093773789216199,10.769968324736064,10.706083060756086,10.831401602363618,11.256737184726667,11.192266337682296,10.683753692563027,9.670462961975948,8.798270659664912,-4.72
9,99.98,43.24023595933877,12.879897923141565,11.494998467748454,11.333485999016762,11.619723549044485,11.795750376908474,12.411600123444805,15.817570973261425,12.231368347287495,9.098117542446678,-4.64
10,99.98,43.78038746314052,13.382152481412659,11.456400512578444,11.241311734690312,11.848676940320281,12.76197919113652,13.485290026412585,14.543896761890705,12.135714528113738,9.160207358836072,-4.335
11,99.98,44.54959774854632,13.692015677742367,11.248844122110008,11.303550916577942,11.463933319499453,12.019565710371834,12.504328982620041,14.079342407090447,11.295960610997138,9.057938153253264,-3.025
12,99.98,44.84670540053239,15.054489883718901,11.666496693432126,11.366568154085574,11.34759324583694,11.965521797888176,12.376154184833375,12.990343616608406,11.166672658803241,9.208948793829382,-1.5699999999999998
13,99.98,46.92920792566302,14.689724970640745,12.181793103114504,11.718860797436912,11.572468308451388,12.30027651446684,12.955233876539848,13.027995526316195,11.26811525798464,9.261645674877343,-0.52
14,99.98,43.96241470487631,14.263984625089087,12.188747834390133,11.7238757748183,12.203676450597483,13.481329111232665,14.229155927406264,15.396140551216417,12.814592843699621,10.189901089081172,0.315
15,99.98,42.93227658741753,13.712139442781242,12.011202870794781,11.695461713170348,11.718321897293224,12.745263803050172,13.760284150379867,13.9011595266625,11.979606849772177,9.371983749996481,0.68
16,99.98,43.487561457004986,13.558923512870367,10.92960207092155,10.979043268239476,11.034682458573213,11.587285526632819,11.73918415804821,12.024109427884973,10.794005046193282,8.920636186717726,0.13
17,99.98,43.43935184044388,13.142272335194242,10.912102153833185,10.782935850745233,10.875751995589695,11.32217344347226,11.48153767796218,14.82347999030436,13.152911640041701,8.92937259225702,-0.41000000000000003
18,99.98,43.539934646196116,13.506751659497422,11.01744645099424,10.774509252788127,10.8892610047125,11.397267026107302,11.397754055779917,11.104725108863056,10.464812354428325,8.836897066093861,-1.29
19,99.98,42.44347563611083,13.529328454217222,10.841913143112343,10.709771202322209,10.853959197587887,11.271563139307894,11.214468527566584,10.701791215832019,9.675947839846874,8.80639244070507,-1.85
20,99.98,41.908687278603274,11.917284186043325,10.751657829913697,10.70138448340997,10.8259519939609,11.27266756803461,11.180453438418022,10.671466508460796,9.6716166617355,8.793352221786822,-2.165
21,99.98,42.69924352287997,12.326287584625625,10.762514059403857,10.69962152167964,10.845079445201897,11.25912255634535,11.197780972615172,10.66405665126251,9.662209184057893,8.789612951022649,-2.41
22,99.98,42.83147751818828,12.943908924187507,10.78090015298592,10.70787372116844,10.839384800719678,11.256008375420658,11.203331451291408,10.676729868022424,9.682731996775914,8.81409797782511,-2.77
23,99.98,41.788249857525685,12.429481844357856,10.808703578223648,10.71902701528557,10.85603305037645,11.304840330429275,11.282927630176978,10.761753347543587,9.743926298221195,8.839734860870252,-2.745
