hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,91.53,37.30927703620337,12.643645745353066,10.801554248938452,10.663613353295847,10.794137870388445,11.254310720811771,11.237504726657399,10.70809503404734,9.65336388312869,8.785096910913786,-1.355
1,91.95,35.678025659969165,12.82903078132969,10.745040512380928,10.66589527104762,10.783030081617746,11.245770958635976,11.235315355477297,10.699426702225344,9.638972632309965,8.777457629498384,-2.085
2,91.84,34.12235905409822,12.362552603524431,10.729638672718464,10.65965989939859,10.787979183853992,11.241851454640384,11.209467458335736,10.721992571666553,9.63848350595198,8.781164025672311,-2.41
3,91.38,33.814949845109965,11.888224522695394,10.710872687444242,10.652308499823901,10.795039921584113,11.242827044003398,11.219861928019741,10.706051775959322,9.680543331861012,8.780271807834827,-2.83
4,91.16,33.86964435777741,11.83662604954749,10.699423390004297,10.651033423681145,10.774826815111467,11.223247158774328,11.209179894359089,10.689718940869886,9.650668326346915,8.781541021139496,-3.13
5,90.91,37.282332357542565,11.8386748898089,10.734529972294283,10.649097970660604,10.77531305608638,11.235422275990878,11.212935258074374,10.706976695593976,9.673206407683754,8.795858752834484,-3.65
6,90.69,36.05350645027215,12.135809070400304,10.737152743140989,10.655444416326189,10.77409375673016,11.232376378264103,11.214085557687808,10.676617411196565,9.652223973918264,8.77395174424075,-4.34
7,90.86,39.18804224424165,12.629199441784213,10.793382028356282,10.65366597185358,10.771958884738087,11.230165115729283,11.218105997580832,10.688297646647145,9.655383063612607,8.786108835782764,-4.21
8,90.815,43.70613749426885,13.681810111759136,14.6300412479865,12.083340789883339,12.44991237926537,12.660927561874393,13.009655095618285,12.223041028934983,9.987205447924584,8.812041470403223,-4.785
9,90.53999999999999,43.87044717318581,13.811791676104122,13.334896856639677,15.769594812668922,17.088586931999124,16.359675219494648,17.275903922292528,16.472840291945534,11.129945695957549,8.946758889084352,-4.145
10,90.36,43.909805001771495,13.846168621672609,13.29377823531016,16.632769086467555,17.98036553725652,16.398066226478218,17.341219839568033,16.615667614307842,11.500330124603543,8.95221133847801,-2.02
11,90.66,45.72778122191177,13.547446693854653,12.66398068339193,15.2268188374766,16.347383760076518,14.979621407345796,15.924131946499646,14.554230725390427,11.461075046494798,9.45073669525943,1.8
12,72.675,45.22860006088827,15.577146318354835,15.138248855796881,15.427381155467994,16.643962514454913,16.97128139616375,17.47940966830998,16.04929640517494,12.194883866805004,9.624534519828579,5.53
13,59.52,45.41904645145886,15.843597240341547,12.801291441511292,14.483236107977126,18.030573228047245,15.30835099976617,16.947744250186698,16.329181443729507,11.939397928472,9.716740189084037,8.88
14,56.715,44.96679494565299,16.283333591371488,13.442218950503888,15.335042084801099,19.43116477305807,16.00596867028537,15.987960253597738,15.935028721038645,12.23136738005105,9.528163836922843,8.79
15,57.63,45.02940293362193,18.294044964997546,13.90871911180759,13.977378330090414,15.18133814284872,15.030368746721802,14.648480711152544,14.483818294935162,11.870607199547914,9.432159308045614,8.71
16,60.34,44.25141778666639,16.25365933807696,12.632513974789063,12.578356858625465,12.85767361831805,13.193020705154126,14.574215113168428,12.64578820969149,10.547123528211154,9.10966854767279,7.805
17,67.42,42.29023710098801,12.805484960097802,11.24774228274386,11.83063827398598,12.298743915732086,12.147498108431359,12.45410310944138,11.781069956266544,10.26194050643116,8.998556892666953,5.7
18,78.7,42.29314216840511,12.334091884479662,11.328059693364105,11.059259755000213,11.365274545283818,11.577760641090274,11.73556523862387,11.62338801677,10.137165140977725,8.891896536270586,3.82
19,85.285,42.035190199681,12.407416847343693,10.774825769294413,10.707637103771962,10.853089251650001,11.32357108119691,11.42873192457872,10.92390966529396,9.86427643400351,8.867416469181858,1.24
20,87.45,41.9775998731974,12.191361361255645,10.704132088811598,10.668302834139716,10.817085351749684,11.315445773025171,11.336622365415685,10.833059038733799,9.805222113113466,8.864418055616937,-0.05
21,88.84,41.85653640615567,11.964074034696427,10.743952347740626,10.682364629181556,10.836691051490712,11.271183946575242,11.263571425242098,10.778117606983624,9.729643193359998,8.801652592233681,-0.95
22,89.92,43.5168019066844,12.848882580964462,10.796442944876866,10.689708183752083,10.824522617752784,11.264670449978926,11.262585712625055,10.755679900435961,9.68912657295328,8.792601409246455,-0.9
23,92.14,40.499185758414185,13.183850943378234,10.853740783268044,10.69230203175003,10.817798627812195,11.265131604434762,11.288346023820464,10.717321041191477,9.650910789921069,8.780825909732696,-1.29
