hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,99.69,36.27914069350659,12.092653858996917,10.809451137871545,10.697756312765645,10.833087671636964,11.277385527657621,11.23985725212971,10.716679509352483,9.700923840766654,8.830753802304065,-2.08
1,99.9,36.11618110993626,11.824058800357735,10.729714984349418,10.678378990070279,10.815798275025568,11.240740670224074,11.187124900673858,10.668093070329123,9.681266043383943,8.815209642567325,-2.125
2,99.98,33.013412919948,11.76167196222318,10.729918642096566,10.682877144320114,10.814305427950156,11.252660821769423,11.179093274633997,10.664691374840082,9.693850247656432,8.819061398568982,-2.1
3,99.98,33.69133499307405,12.165289054022553,10.887151560315028,10.745433881836432,10.848829777737963,11.327767588561766,11.278091335604739,10.743173948238473,9.719957974396662,8.84785149746873,-2.32
4,99.98,34.88907477126571,12.20823855055081,10.840952435732664,10.732159448843614,10.863135929451811,11.340402311139615,11.32223721497459,10.812969479412597,9.766491261187769,8.86882223198262,-2.425
5,99.98,36.06032273939429,12.016526682685713,10.758180407088528,10.672177178760068,10.813968356427502,11.25528886182004,11.21946716722281,10.670138639467766,9.711784910588042,8.839084184571806,-2.53
6,99.69,38.48980548279017,12.267670524089134,10.859458941008473,10.718748650092602,10.844757671906198,11.308922161844,11.275846032946475,10.729367679353356,9.722537853094293,8.842003304842288,-3.65
7,99.66,38.67573563201085,12.443102758611277,10.850957447251835,10.70636894423223,10.878074560437124,11.387215546350443,11.41890414140228,10.88320465734818,9.830966269479989,8.89903062770546,-2.92
8,98.66,44.130152300490636,12.655255288163266,10.861581426236329,10.727441902076396,10.845976849918266,11.375801538503394,11.390888464773091,10.841617107752741,9.776663950580403,8.868975625694556,-4.29
9,99.08,43.36502980652109,14.05846185482698,11.470253202750936,11.265213871710408,11.436020532706774,12.27395827994436,12.488161723452738,12.388677059905016,10.520334778759631,9.026547964770144,-1.63
10,98.47,42.7804376743167,13.591743437540678,11.7653701821406,11.52402009667659,11.536083454954143,12.15007314429883,12.658636083440413,13.229579026919813,11.531160327964393,9.105276381780607,-3.31
11,98.21,45.23422297185342,13.665052070534983,11.647354514259732,11.280010407043266,11.629878606367875,12.350262576472035,12.934794883888731,12.969745681626149,10.846093413152422,9.277021220887297,-1.85
12,98.355,44.64875120887617,14.3182385650798,11.844287734258764,11.538199257959324,11.505602306488974,12.174235036437846,12.955852702329617,13.123514119062413,10.761521197155325,9.353875757953318,-0.625
13,96.60499999999999,46.01910747833277,13.172038694937383,12.001507315973205,11.482630941465466,11.770079690713075,12.682615004362198,12.918566319330399,12.57040485502644,11.14433791421256,9.448416649027,0.06
14,96.18,44.42967550576043,12.414782706360807,11.391018599359475,11.295560510780371,11.389797116973515,12.076232076815439,12.604649524279868,12.84161228944656,11.140796685072658,9.187580797801775,0.51
15,95.345,45.314599347328254,12.92361648546894,11.30538062082828,11.159848463614644,11.256468000425734,11.905087115395304,12.19288580805853,12.006934459740704,10.832446550965123,9.131094062748097,0.38
16,96.44,43.57857330550003,12.619297263130429,11.364902060389495,11.034146686780996,11.165623214271612,11.757412423194127,12.121410990329151,12.173270576684567,10.602005098930897,9.02347744681023,-0.17
17,98.275,44.471234993044746,12.858655965512792,11.096652041418679,10.98704762669954,11.003737847903757,11.51798169280154,11.659512323542643,11.752930509699011,10.71947647222502,8.933339005898802,-0.75
18,99.98,44.29800451494884,14.018667488880384,11.181696134447552,10.897743264856508,11.041379102769485,11.605057855102372,11.618849909738385,11.175703749607269,10.001135153308313,8.937350971955869,-1.2
19,99.98,43.04016161179798,12.638570489778598,10.817210941746762,10.72731983425567,10.868958501148821,11.329599833538255,11.30524476853704,10.781737303250047,9.73257379904204,8.845580998137704,-1.57
20,99.98,43.37674347044303,12.089832732160845,10.760550169909827,10.69090962203742,10.836953787336212,11.278229927968972,11.273750587686504,10.745766007023336,9.732084186122576,8.855308108442475,-1.72
21,99.98,43.55618385040122,12.003473506185424,10.716752896066527,10.6715554013498,10.806915491184498,11.244116851377168,11.162973011774636,10.648706597804068,9.677247783885807,8.811790641223952,-2.105
22,99.98,43.745593629228466,12.030925529444806,10.727102217996746,10.689744653025869,10.827803850516165,11.28553785744939,11.274171169206575,10.751303572534255,9.727257446122099,8.851098365273103,-1.955
23,99.72,40.54940765577206,11.84986847623538,10.742085516137582,10.678119805574,10.807494596016845,11.250092127896792,11.212917664381672,10.685697854722452,9.688004169025497,8.835497598170829,-1.85
