hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,91.635,37.03245646166219,11.729744840932383,10.86540062652724,10.875885368409474,10.973153031135283,11.362703180103178,11.466028517870283,11.220258061090743,11.210971342399464,11.803705814512224,5.385
1,92.63499999999999,34.76564294484774,11.718970854290411,10.97226481949442,10.935963894466532,11.001114373650081,11.359317524649803,11.339582712806386,10.831680061999048,9.888535411802865,8.814647724812126,4.46
2,93.26,33.88161698034283,11.867072989316373,10.964441008666984,10.920916871608828,10.944726281526158,11.328544223040053,11.309211774574635,10.79289003511066,9.728254966474056,8.745548210752098,4.37
3,94.07,33.078127688455574,11.849403009910775,10.952518672034516,10.907484072280711,10.935020949433126,11.320169205484163,11.26089580002767,10.737593252257037,9.678337088532636,8.745175060918706,3.94
4,94.09,37.39314041940155,11.888387848566436,10.993903099288982,10.903333351985427,10.96559829693775,11.33832079113094,11.275943397141408,10.735474162481312,9.72466438850645,8.746198383898804,3.025
5,95.02,37.321890488027435,19.17030837870447,29.582618253316355,32.13531181403212,26.28053893725466,25.150597902005366,25.45684107433627,24.097547121267127,15.541473016642858,9.017695295130249,2.165
6,95.275,43.422574676917606,18.947509728521602,26.726591638792527,28.656782979759,25.156999798356225,24.815043681759498,25.72662819745768,24.003374863346096,15.821203216953759,9.086732021411304,2.295
7,95.705,45.45651367542153,18.52802676714323,26.202092250710017,29.389812465190715,26.35609455649557,24.106130999596793,24.79233889840079,22.8051282936767,16.117620721391997,9.467860179054414,2.355
8,95.905,46.120126828858105,21.850197089730337,25.778799349752028,28.044325262302518,24.394834415812817,22.669261531645866,24.355571529210664,24.340778491495712,16.807478656249174,10.2536671396468,3.535
9,95.575,45.414301993415165,22.02194852529589,25.679271291956077,28.671629298277935,24.919493653750536,21.794972708355175,21.51697943162912,23.666043674753297,17.235883520143787,10.785940195285688,5.34
10,93.005,44.05520491847945,20.722022188633147,23.784591251960027,27.211323528598612,22.417531769997915,20.214897687794164,19.881852320497288,21.854010325791652,17.058819389685446,10.110597104928043,6.41
11,92.475,45.857177752910346,22.059788728330233,24.27242467250862,27.338672499948363,22.125787601341656,20.08690000706637,21.86795946453426,21.53744416196699,17.118898624237797,10.818722382143568,7.12
12,95.07,47.84333256112149,22.1404226710022,21.581564682892342,24.279376486943974,19.587383515217198,17.131826302066358,18.765848820568365,18.816153031847122,14.26818217399914,10.4701223528046,7.08
13,91.805,48.72513498311261,23.979558009935495,20.524224853280877,23.249514644160843,18.367133651599268,16.378584368665045,17.11470317615727,16.86591290432097,14.572738333676714,11.541853458850422,8.04
14,88.65,49.03787876918191,26.28817553473217,20.842132884369942,21.033966259463874,17.189420858648653,17.247447886236976,19.23773998889709,19.72064637737711,17.785421348894342,12.727180067273789,12.31
15,91.43,48.19683817365217,24.52475057808145,22.467793679502968,26.002844847111717,19.503078105637098,17.620043719988338,17.862914652987783,18.9683760749526,17.51848736217542,12.237974703854835,10.485
16,86.655,48.96682046349781,25.900096086999344,20.459992223804818,20.52311332383486,17.07452082302288,16.72232172070709,17.230209590044375,19.050102126743624,23.166170991177285,21.269808656470353,12.585
17,91.24,45.98985598345921,23.567599785185042,20.954134273952775,22.403550676210124,18.10949647347976,16.46699703868657,18.469089748761114,19.19730385366553,20.45787057809627,14.981997102498958,6.84
18,90.815,46.23243326010758,21.151506481376877,18.413830433021886,19.298381176909153,15.37349365313325,14.905708377566455,15.879422873728902,17.280197672099643,18.93912793598131,13.617079921960048,6.495
19,93.015,44.66170050839365,20.386512608244793,17.075124351587004,17.964901086068956,15.123897160334245,14.024452333056423,15.40854018878202,17.13089113403226,17.27563324968193,11.766613626453104,5.21
20,94.87,44.15187110316206,16.64515368192437,17.140030735137998,17.825369948923075,13.63320418871102,13.118512845548835,13.619982526338674,15.31788805898864,15.385423875413046,10.22491655783343,4.375
21,95.745,43.25153497283772,14.531334345720143,17.598192259222866,20.69024071234024,15.885322521447645,13.61976609341803,14.54077182626458,16.768520433583305,17.79744228805237,13.826806505248202,4.055
22,95.96000000000001,42.62499920891604,11.884489047322404,11.29014695646346,11.270716646113964,11.276119362104595,11.785891560759843,12.706346600934193,13.336854449269001,14.684729143533948,17.437581474768642,3.0
23,95.5,38.65026530729782,11.694812320548625,10.844526946063525,10.828087773934065,10.948540395449134,11.3919639319105,11.636080350883475,11.78974474190286,12.65801979103609,15.502442632993638,1.565
