hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,86.48,34.5366229940626,11.712045109240123,10.75907914830428,10.770268574867597,10.868651907688335,11.256535982422267,11.245899909159116,10.75312808082094,9.711020617361186,8.753524761432057,10.14
1,86.965,33.45445143724265,11.778044385112999,10.796276570619199,10.755790452417433,10.864793694949476,11.261427746537084,11.236270609187192,10.723885349991917,9.667351773194998,8.74681263241153,9.33
2,86.9,33.091784558025395,11.921975684424686,10.865601636297214,10.812241661212424,10.904302153823666,11.287540296954619,11.247674157268534,10.730907053936873,9.65932388868192,8.754278083570302,8.66
3,87.23,33.024202266089695,12.124735805544754,10.868795826373637,10.78527973051708,10.889099696018699,11.27905358741376,11.259897532854842,10.727013545936297,9.652142484771646,8.74083876763776,8.45
4,88.37,34.20548837460956,13.24143454569072,11.160543556080528,10.963847950182586,11.005687499435531,11.460868123735018,11.48016767375816,10.84028500917066,9.704788744487637,8.746947925563697,8.17
5,88.635,38.40933460870324,23.63604998114785,33.32125670421323,31.63326902997815,27.45009419475777,24.33611752233122,26.652639568182693,25.686995773055017,15.873238391442804,9.038677584144652,8.105
6,88.65,41.5725054427961,21.76501326918487,30.256886526861148,29.476707819681284,25.069763392570316,22.357825960386663,23.117398358756418,21.730629778315716,13.516546640743195,9.261405990120416,8.469999999999999
7,86.92,43.97779331726422,20.985794107310763,29.08619886965889,28.19928103158198,23.757252795403737,20.024266108699106,22.18554219880371,21.866548047332692,13.607821318926234,9.340671332972374,10.34
8,86.48,44.292124413717474,21.987092703793866,27.80298732782793,27.74819538057938,23.79871373129576,20.826385275171724,22.160337625316664,22.75307352994539,14.509127046198582,10.201165042440806,12.055
9,58.36,44.957357733884265,22.132520037536942,26.215906710814863,27.730106641567076,23.973989345881968,19.61048285910814,20.290155629938106,19.663018678067374,13.674449352093168,10.522966725490246,20.395
10,55.64,46.47126485036903,22.041764928000845,24.504521360344118,25.432854986765165,21.80732092750916,18.310289364301802,19.553687621659623,18.779080667970188,14.51383214045816,10.792564220442307,20.89
11,56.39,46.68991958164533,22.15970030109945,23.242629243359904,24.633611117406996,20.650276639857303,16.971908678947575,17.21090106997885,16.227641702791573,13.664470871297542,10.634514558497422,19.56
12,56.325,46.60294293600495,22.65760264295001,22.68582728233904,24.704906755318547,19.36104037773231,15.616081089531985,16.32148262708177,16.11156491294055,13.02896068461012,10.440522476745382,17.675
13,51.89,47.652718922466995,22.21979468232944,22.63828302327002,23.227743607416702,18.770492734907105,15.839964809761224,16.46380702931072,16.474825149060994,12.90457626345232,10.570994901359693,18.66
14,50.05,47.10787086660077,22.456310011770338,21.144560582621263,21.6775478972161,16.900257572052862,15.414842376741007,15.72747364838227,15.56567884507074,13.24985001559665,10.84437876567737,19.39
15,51.94,46.60841118255868,22.615474327518548,20.052105446023134,20.756448122197185,16.108121136297573,14.615004457762488,15.478134639052904,15.398969674655383,12.959472654828302,10.716718928734874,20.355
16,57.6,47.82247679850714,23.37161005737308,20.0023946865497,20.067385211113333,15.571198329108928,14.399248865834204,15.613238925246725,15.430597399776913,13.290912433469614,10.727629418065684,19.26
17,57.760000000000005,45.22729419421782,23.364708575314083,20.550783642297652,19.908010081154845,15.555532315621864,14.743119095074071,15.866551213447696,15.298203264331882,13.10866768132583,10.719294931694618,19.775
18,60.51,44.69137860907987,22.901098734364627,21.530103788610155,19.862519201025734,16.44119037361933,14.65020211886662,15.200199780308225,15.08285723509153,12.257908430897235,10.205742509258394,18.44
19,64.82,44.40143089005389,22.068988032034014,22.82435836385524,21.520737232299666,17.134319636146955,14.13333244602984,14.556438187586785,14.000933568029499,11.67396236288246,9.801063645571194,17.11
20,75.3,43.47125740903029,21.130250806125566,25.41256140224602,23.432748130893124,17.655374395612725,14.60743815343824,15.14304817000226,14.52210837263696,11.290582593475314,9.375762517271859,15.16
21,80.42,43.4560277802354,20.46744055284057,27.059898377693475,24.890742904925386,19.89830296780589,15.80832334548651,16.75866195433971,15.81485663374975,11.53081350196998,9.222220324754552,13.73
22,83.83500000000001,42.791228756549515,13.208859781242465,13.916764462214505,14.135843481452875,12.307173503208231,11.629847861116632,11.904315717518918,11.241619423670242,9.944917918776405,8.850903493533647,12.93
23,85.245,38.35977641209628,11.744953178773372,10.779446749998858,10.78171891131402,10.887694227521417,11.299091662375398,11.318788700101305,10.785873156167943,9.731055876343753,8.796039775164926,11.54
