hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,87.34,39.635691682711276,21.100436971275037,15.824481424782107,11.950939327879574,11.735375933640812,12.242298272503842,12.50823922922587,11.834754354798758,10.394173395462019,9.260327528449828,-0.9
1,88.105,39.87203206888637,19.774152484716282,14.75537590659491,12.620656552566043,12.374153722359697,13.322484840520708,13.741537637287472,12.582547518007305,11.02866099467703,9.535630612275785,-1.1
2,88.07,37.148615573117745,17.8110415890608,12.573660158779678,11.91957702295012,11.463417673395998,12.212481767993705,12.337547215733887,11.688204397636307,10.354624649995404,9.23487977854951,-1.2
3,88.20500000000001,37.394195567125976,18.612382737410805,13.05689936673523,11.751097512727771,11.806273667992226,12.454226447212985,12.457213433205581,11.77891203397051,10.484244380848331,9.180635729713263,-1.355
4,88.105,38.08996202827651,15.935502202591929,12.05409188114872,11.205416813157148,11.367945212049623,11.923156373380786,12.126861307000407,11.474571332923698,10.255944165052227,9.091444199785382,-1.42
5,87.7,39.26230098402724,14.187935684947655,11.094250896629081,10.81355238915101,10.980932618609307,11.479291057892615,11.48996344434458,10.980235473434005,9.854101547143557,8.904174386252459,-1.76
6,89.12,40.86305599821984,16.28090199291381,13.163587335076357,11.55084249826405,11.128822165780905,11.625481237108133,11.891562442297714,11.162713598331337,9.932963204826901,8.946067174569126,-1.89
7,89.97,41.44540093047628,21.44804752871309,25.51287849341161,20.908716401746016,17.104296066569606,15.422257338845494,14.93242524491768,14.230167874116633,10.833864920990083,9.222119217665057,-1.85
8,88.18,44.97237119250574,21.82769095290694,27.692712126429385,23.876295736057376,22.954241253656622,19.56568160420963,19.35759885172112,17.898801372263264,12.578070257641699,9.313941518556586,-1.85
9,87.34,47.243074058776855,18.945193942060662,23.862141106989316,21.373493601153907,22.07466303079203,18.979899752012336,18.988364726961613,16.89310726759809,12.343884687436509,9.800653170799029,-0.47
10,78.78,47.56601318478746,19.9700611160248,21.2831531515302,21.854113149512262,20.880588674982462,19.60140900984562,19.290412652838768,19.40938019629575,13.678350512996275,10.709238636843326,2.79
11,66.87,49.21159351843787,24.0698316261482,20.6494686307561,19.400058371813923,20.262140798033567,20.269811272242254,19.96778006010438,18.84005794332438,14.690317001456972,12.21036568253683,5.27
12,60.7,48.755439230208275,21.23262888927914,18.314479016046718,17.257928315312856,19.419820688683373,18.675952389223703,19.2181788400338,18.847123463904623,14.670030436144474,11.281385579891571,7.46
13,51.275,49.01245246690708,21.877201219151424,17.647289053486297,18.48946093432749,20.63922795244386,19.466773067199583,20.563339882036487,19.724898482083283,14.756356520379574,11.477320120099122,8.385
14,52.75,50.00255387350182,21.31043185632226,17.861130203039018,19.078364950720207,20.396837697861766,18.07677805108575,18.49253610522689,17.356649435075518,13.188107280870655,10.402823524657503,7.81
15,59.89,47.44502709010437,20.64149668673757,16.703323197794102,16.607081502822926,18.30155230693238,18.015970019740227,18.604821030014907,16.717483875284323,12.764772076904636,10.42323652168102,8.02
16,59.635000000000005,49.41878945007559,22.662983509360803,15.640720990458526,14.834492784526976,14.838434699312153,14.78388881620269,15.621336431128125,14.86713140001305,11.795842649752608,9.71077090238748,7.72
17,64.73,47.19977867075541,21.645118565705324,15.447040680329245,14.020034516573748,14.930829980532463,14.788019047141285,15.74032197302716,14.484847936097868,12.164605747666792,10.211313311946226,6.99
18,70.55000000000001,45.93870692068428,17.201896947174106,15.615592107308867,13.138036358110845,13.06588772716464,13.21860717308787,13.665805610560955,13.335808964224544,10.976819322284758,9.344412047664306,4.805
19,76.61,42.88526646065183,16.583560622555567,18.787321965061842,14.941276741391865,12.608264546100118,12.46180932524923,12.642647567116516,11.902188358308996,10.284328287343909,8.90714961996367,3.3
20,80.65,42.51952207822644,18.537810148237085,17.41900056132961,13.834819175176225,11.954658699373779,12.327656551576636,12.35402492926311,11.42013311873509,10.048684670186043,8.95319201017725,1.63
21,82.205,44.82728120195474,16.788934317156098,11.286950157176747,10.801374394491315,10.938935817053462,11.432243756641798,11.474345725670148,10.924688755477105,9.832298398678581,8.868305574536937,0.49
22,85.36,45.47137013203767,17.25618690790247,11.797985805040286,11.058828293876669,10.906197370161461,11.439073811535607,11.503476716618922,10.987362357811921,9.854967592245073,8.867779518781822,-0.3
23,85.945,42.04127631336908,19.569562632478632,14.739774996285476,12.068352854444697,11.940035639959556,12.598677183577763,12.904956210284471,12.09414705030976,10.699125956558333,9.304369442077551,-0.7749999999999999
