hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,91.17,33.77755350829021,14.732250339002547,13.004408914257835,11.167746541008729,11.064816500135116,11.471658267388467,11.466746452427184,10.929697691042103,9.795277690126486,8.840059941214573,4.42
1,92.32,30.4690582385048,13.665163250335732,11.697075264676254,11.15335523002157,11.115644763722138,11.502051567073842,11.56558608837262,11.160297037712787,9.954152905676686,8.949157374966742,4.115
2,92.60499999999999,31.134278476288458,14.264662561315166,11.771547876435736,10.908531709582372,10.947399487833918,11.44051528288512,11.454804899458615,10.962403123231047,9.887511837724087,8.904124789162577,3.86
3,92.55,32.15513508344719,13.9870804724568,11.93620298899929,11.090678814781548,10.932968395850303,11.37220894520885,11.369455747458415,10.84553175421275,9.801674724636813,8.89714188777242,3.56
4,93.29,35.89896648413274,15.030330987825796,12.723104345196443,11.29378748809925,11.097909003989681,11.462439726708332,11.459594087536889,10.836644848255839,9.757066090046937,8.837961061762044,3.555
5,93.91,35.924261879656854,23.411959553713604,31.674855561833766,27.30729839722561,23.78104533387535,21.238701694828283,23.0156858938882,22.245900024876136,16.741329490206493,9.085404752852419,2.83
6,93.845,39.737114246366986,22.946671051868172,32.2265751776347,29.207048503918607,25.115141764914085,22.032836597844785,25.519714413514265,24.076760327549323,16.642758707878944,9.150444635513185,2.21
7,92.96,45.328881446879436,22.038026707127273,30.827179766191897,28.287352920717183,26.28757298100112,21.623384231593054,22.84212959567527,20.61296278332292,13.680418353050785,9.111324598572835,4.4399999999999995
8,91.25,43.53007862129782,20.942445499301776,30.03603558101098,27.420817743007433,24.741362703076483,21.050093611930066,21.785706674610324,21.070538962765553,14.206007526185992,9.48257254105097,6.39
9,84.77,44.686165475989256,19.391402525902688,28.325645255648,26.71320261047497,23.720188409970284,20.554516264073644,22.003694848496767,21.200324459741346,14.037392555407164,9.445701055062226,9.56
10,79.2,45.80837237939943,18.65665857092198,26.40707543815264,23.791594492626047,21.219173795734477,17.280415445009808,18.4627148690631,17.683663372583858,12.996626733053283,9.34474418333268,9.969999999999999
11,71.745,46.676899589346206,17.544676098848385,22.90995811685561,22.927119114997495,19.837101338953843,17.829572998062893,17.033933576297272,17.545328935059608,12.411610076949335,9.293980227861987,10.765
12,70.405,46.8081263186298,17.340742779333805,20.730442916010468,21.907814600757657,19.531075240393577,15.864890308097722,16.841473419474195,16.17061602407572,11.92760055354239,9.457683158877401,11.129999999999999
13,71.12,45.98661746926832,18.261358299122115,19.857580870200287,20.6969516394596,18.639018469912873,14.547749606367557,15.880817428555064,15.676029131648196,11.285620987109255,9.088988804154777,11.495
14,73.92,46.08898787731562,19.300740330618368,18.65134090294219,18.92536685082483,16.956233650636864,14.279136502727704,14.50880441157667,14.954585479672778,11.321724539688613,9.098771249918016,11.07
15,69.125,45.468550382788976,19.30120302473283,17.55035887612502,18.562641191515112,18.06532327270107,13.32574058332202,14.302681380002031,14.708684616105257,11.031046048312053,8.959538981443636,11.99
16,67.84,46.69820131837879,19.33513697483938,20.152151395064024,19.600941362889365,17.392559911654743,15.017957779047919,15.76600884841453,16.146264141907416,11.917934765434286,9.27145182590639,11.515
17,71.95,46.031361885859916,20.756450345195425,19.09060866405894,19.803044987042455,16.654719240045058,13.873783470681984,15.040495549863351,14.803042765074446,11.33832413707675,9.576757876486973,10.25
18,74.465,43.658782175146825,19.465093401805966,20.250878125418605,19.11562526705665,15.897163087739969,13.86974326583106,13.828537764012093,14.631194400952355,11.381043102072919,9.502516476441672,9.39
19,79.27000000000001,43.42800611334875,18.84081004278293,25.442278641081373,21.61326919028356,17.654557027202557,14.633094327208621,15.569358510245491,14.948878460246904,10.720283714341704,8.968501685579907,9.629999999999999
20,84.68,43.04553514065463,20.079729076420033,27.69305393451179,23.71065150150243,19.851400356665273,16.712084731917514,17.525903026296614,16.56783505887187,12.358273107040795,8.917827843643352,8.04
21,89.01,43.345500028981284,19.235747349143733,27.915751907894258,25.459159458043214,20.967932235296715,18.631316066313346,19.756748346463787,17.719571366161126,12.421716597666622,8.819115986397973,6.970000000000001
22,90.09,40.08297785704678,13.482319001278867,10.978573366796114,10.896664173337244,10.964352295085027,11.35499766231251,11.414172915616415,10.853775503458518,9.773692783140467,8.830189385743012,6.26
23,91.195,36.127467883684005,12.13658931821667,10.717151875648275,10.700815732828696,10.807726244906206,11.220201741103832,11.199094457838918,10.682209017310637,9.631382717221456,8.770210300299567,5.21
