hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,99.98,35.86533780526064,11.95432350934242,10.810158251428213,10.792319607251644,10.911114847702509,11.308232732406658,11.227084890046827,10.699918943092957,9.685628085655395,8.808009204125266,-0.69
1,99.98,35.1518606083921,11.955423235631669,10.831308524670877,10.783454342089074,10.889048736376877,11.292832829282501,11.22383919633882,10.685508717730098,9.67255838305113,8.799842682892061,-0.6
2,99.98,33.535421259284036,12.438847812436313,10.909826284866957,10.797899969861321,10.909185933572353,11.303120982669256,11.237972030376561,10.706290107261863,9.67587517291748,8.804018395478302,-0.73
3,99.98,32.93581576758149,11.963749826541614,10.933212040812379,10.799675804407409,10.903454507778001,11.299109414559865,11.209371310168326,10.6841046163101,9.66738630231459,8.794045265788153,-0.95
4,99.98,34.21914565426006,11.916312311512144,10.878706218588386,10.787657365651837,10.92500546051305,11.322695494662053,11.274433031843314,10.740864078329064,9.678994045898452,8.79898477188448,-0.9
5,99.98,37.19852034635372,12.20557068732785,10.855810351070303,10.776943331488146,10.9060035748099,11.306434933766631,11.237942559628891,10.719811436103617,9.6883544357087,8.807786496555812,-0.99
6,99.98,37.690650890856325,12.679244499452412,10.868316438681138,10.787528071127978,10.908413160712197,11.303977343230677,11.220448542814065,10.69410623918952,9.67121853725165,8.799842136825195,-1.245
7,99.98,39.527369011625794,13.160156724680622,10.833848401286176,10.765914078721025,10.905799902493676,11.315225297275877,11.209956386595604,10.72065862175764,9.682601453446077,8.794238159289,-1.44
8,99.98,44.37525835987627,14.449368765163717,12.6662624174763,12.598989501233813,12.073079375787877,11.617378090806735,11.742081367516558,15.197916314803605,11.409961458671706,8.915223016587582,-1.505
9,99.98,43.36159096595068,19.727383632960123,16.804924409360368,16.22547467001174,14.907606892307287,15.37535731051053,18.47842416256067,18.88856419134497,14.651876670174062,10.684819077892893,-1.12
10,99.98,45.07174431475278,16.487683977423195,13.346833679724298,13.326712386909616,13.000881011132615,13.150403817892805,14.576916784731448,18.003318942810218,15.394200379883753,9.771555392873909,-0.47
11,99.98,44.91858189938006,16.915040000567767,14.254276421389303,13.967148458327607,13.501163019505903,14.766914597461586,16.09349183417328,18.547395811291064,14.99344429083241,10.915781691493743,0.36
12,99.98,45.85664206824049,16.486801384886995,14.549300045646788,13.922955217064075,13.489739441101811,14.081799367363661,15.060561066589475,15.85355505448828,14.101338124733067,10.308084660398919,1.3050000000000002
13,99.98,46.22136736848239,13.940525495991483,12.507679007627825,12.44230989207464,12.421454585703376,13.119593301140235,13.799239308973995,14.026053194046504,12.706672950683569,9.761138427520681,2.23
14,99.98,45.687618636795406,14.221096190061344,12.811986037608257,12.24004568242892,12.341500573708537,12.495793125685523,13.005539325185318,13.677459570138872,11.7240463578271,9.519368052639303,2.125
15,99.98,45.45229780069029,15.433865912078678,12.952146523652948,11.872216476461706,11.625176766582811,12.262103684056804,12.717254441806162,13.57770467449265,11.844220364986858,9.105000289756363,2.23
16,99.98,43.15210372124295,18.18713049025404,15.417033934770615,14.529169674224086,12.602630235130535,12.921237770748856,13.7532184760186,14.414676688645615,12.129173056416638,9.938859887332448,1.8599999999999999
17,99.98,44.35632643708297,21.471071071683628,16.912625543609018,16.299818380748743,15.05165990699091,14.950775697168856,16.68924028759314,18.810385504826943,15.788953054690875,10.381470080300565,0.86
18,99.98,43.964164339835634,13.678539979340261,11.13580106132817,10.852602576032844,10.950255919818943,11.390724674536248,11.346782682352211,11.053322762628351,10.003270284574691,8.863248927213384,-0.05
19,99.98,40.628730657964354,12.675842553030716,10.930016621387157,10.839899197097033,10.947199650695099,11.335172580517778,11.300822906339938,10.847500703679225,9.794851571342893,8.841626012559814,-0.3
20,99.98,43.30226410475463,12.521264459627037,10.861664546093426,10.811269769769062,10.899452004127935,11.327282628902532,11.239831934871866,10.74191647640602,9.713748327727181,8.817263160937202,-0.47
21,99.98,42.82598068587143,12.714788095057989,10.856640020842544,10.781544514708145,10.89509009841862,11.298741245363619,11.261888094037115,10.728604093430828,9.702604056746885,8.812347951560081,-0.56
22,99.98,42.924631150528526,12.247131617842616,10.832484004337338,10.787689621798393,10.900724142812853,11.295404288487989,11.233345633582104,10.71827861665779,9.686959074407856,8.821035023736183,-0.625
23,99.98,41.05659964713804,12.175274651300025,10.910854922637537,10.824553335543303,10.93860698130732,11.329389490491774,11.257214844594499,10.72834521077997,9.689230453535814,8.814537136577856,-0.77
