hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,87.805,42.10227126192491,20.74256709461127,13.743592556892573,11.741152204830513,11.308913478300862,11.739512363996983,11.865014674997948,11.405948540407095,10.408543643214049,9.173501951536991,2.6550000000000002
1,88.93,43.598560212237594,19.591554013386272,13.008838172356631,11.76978477412959,11.824811090935306,12.423873950353794,12.44281197073093,12.063775036889535,10.72009201312721,9.43941277375042,3.64
2,89.28,39.64654358402185,17.371193953510467,12.182020227667394,11.669227172542893,11.713003362787347,12.322467014174357,12.59719715430875,11.92048926604421,10.489712082184075,9.190590447736774,2.74
3,89.77000000000001,42.239633973502364,19.543955705465123,13.471943399605557,11.980903534126991,11.593035628530748,12.047247107473375,12.245543415343928,11.615427338885254,10.422321877601066,9.166092459654795,3.19
4,91.1,43.50743440112714,20.53656756499197,14.962853967040404,13.091794358025531,12.286277832249517,12.625747298836318,12.9097525330383,11.893187631830541,10.66311563494743,9.400575392362512,3.17
5,92.36,44.38698793542107,19.65285551932085,17.82472696981101,15.466172129897522,13.274947326413516,13.864853003550902,14.255941017380934,12.922295503148206,11.311316381905502,9.711837796043177,3.045
6,93.325,44.97998932383315,20.91332145060091,17.379401113185512,14.062951518788722,13.298283306162517,13.768396322919134,13.985450000209843,12.817387310276498,11.265571573732526,9.678022692881854,2.98
7,92.66,46.40350269061617,23.37211240568861,17.82621635800496,13.681747073685322,12.131500754199848,12.788243776446569,14.185292513147663,13.003820271567314,10.509930301802637,9.068713837785936,2.23
8,92.93,46.95051008871972,20.73642430175206,17.338775308921154,15.597143331811116,14.455929045638332,15.177768589280117,16.865473142662154,20.62262619222423,14.640604141077842,9.704338837427562,1.37
9,92.82,45.493271001406896,20.29882533916929,15.74401631325557,14.295413663291454,14.723599818211227,15.105001406019467,17.726178203341718,18.233320901959072,13.979653633524062,9.559658257810163,1.67
10,92.305,47.41590822200521,21.23899163499476,15.980416901521886,14.081836372810024,14.072265493816122,14.225001748690513,15.357975777273738,16.389529272489376,13.123789592844604,9.789971034138237,3.56
11,85.1,48.40893915768326,21.676871876201897,16.23825215931589,15.421596549939975,15.090810839443392,14.842829761288266,16.86452153881283,17.494232674685072,13.788958670979929,11.252109270156106,8.36
12,73.95,49.32325382693025,23.76536229097269,17.69887388912245,15.738059427649407,15.707714844446981,14.942977074387649,16.714853808865474,18.744223355831767,15.530521449049912,11.298484910975432,10.72
13,67.37,48.10581380811882,20.66573539026397,15.819747713908079,15.099452313119418,14.369862506919898,14.742915799719693,14.924820980432727,16.28079667012197,13.436328951615273,10.523630353134763,12.545
14,64.61,47.57770953083963,18.22688754999038,15.168953773656346,13.51408961612466,13.02714806809345,13.364042228716778,14.408572550886074,13.813242885210753,12.20158125583644,9.842663019936865,12.805
15,63.56,46.46051980200335,18.484587052453662,14.93651327646998,12.903710283997325,12.817420790813411,13.025357244390568,14.486250117435155,13.922576891901496,11.868122146488254,9.915751117869812,12.735
16,68.8,46.426801956642805,18.815260220612636,13.236557177076033,12.61248775952661,12.631462957881796,12.602082489616677,12.935291529130636,12.839542663004043,11.165434011442066,9.315630530753287,11.945
17,75.13499999999999,47.32786762536789,17.345545825796222,13.488318480849248,12.131758204220894,11.9397870174565,12.292592215770423,12.748525283898427,12.150342632223682,10.93538095663651,9.205860682499246,10.275
18,81.405,45.49522967702969,18.823983738379667,14.157845331062735,12.198820360402067,11.642375228629518,12.04135559217582,12.351138475221806,13.348482148377405,11.315069151551741,9.085990736438664,7.975
19,85.61,45.388703966094035,15.146377530251081,11.50976620305699,11.094241970805886,11.23332695511125,11.651440162520544,11.69478543081668,11.238885573060392,9.946471391127641,8.93317949438168,6.52
20,86.855,48.37660938957404,15.477749325445057,11.101333233120872,10.900542896708231,11.048017766158864,11.542346186607254,11.721729212615529,11.184107362066342,10.118102377570644,9.048963358819144,5.17
21,86.89500000000001,47.16707063044948,16.019251449569783,11.9604304667623,11.090885450229136,11.128281629980343,11.854538442000845,11.82348785586207,11.17864589554486,10.10949715477161,8.980593477931128,3.965
22,87.9,45.08779913561926,16.29181457408655,11.59285010652141,10.94554768793752,10.977550480894088,11.424344596636162,11.421977309417262,11.00025525605018,9.888312082318317,8.874419006085471,2.74
23,87.48,48.03805083353021,19.93703746764377,13.436951326657052,11.26523918958519,11.11533048215559,11.633105098836145,11.690828298065396,11.148109877646297,10.002811798025393,8.98331432140585,2.83
