hour,HR,LEQf_0to1kHz,LEQf_1to2kHz,LEQf_2to3kHz,LEQf_3to4kHz,LEQf_4to5kHz,LEQf_5to6kHz,LEQf_6to7kHz,LEQf_7to8kHz,LEQf_8to9kHz,LEQf_9to10kHz,temperature
0,99.98,26.385119555940015,11.527180783258999,10.764393553322666,10.803325724798427,10.915398585378561,11.28369956278417,11.1748903080263,10.638087978986205,9.604638163383711,8.72264717332018,1.97
1,99.98,24.271955323046296,11.57318725161172,10.773942327900762,10.7937002264821,10.920274191897418,11.270176335430474,11.150977128797795,10.61734398094453,9.587185500198576,8.718302486127246,2.25
2,99.98,21.8872378880232,11.556701314503627,10.770626659803984,10.774862185255099,10.887226273595283,11.269639715963958,11.161895509437246,10.596587660068213,9.58400093670298,8.724067145548744,2.6799999999999997
3,99.98,22.403155560824715,11.563289654961542,10.778312632029971,10.785872129972857,10.906566579762515,11.278663135344813,11.157335985862458,10.605009729714482,9.564940195493447,8.730555388813974,2.98
4,99.98,28.24979016961963,11.588307626813876,10.768771157144961,10.786773774576144,10.909943083778789,11.281481105602968,11.150730055956675,10.59652711989532,9.579690269253831,8.729508389766448,3.11
5,99.98,30.691613084236074,11.70818369991353,10.778889973581478,10.772347175709921,10.909481372379581,11.27217879116371,11.142308011168543,10.59406697393461,9.570510323430238,8.736948907007458,3.3
6,99.98,37.72869554070395,12.572217308299333,10.933811915409692,10.838461925800285,10.983158735360549,11.359223034157482,11.227121319027088,10.683272385586989,9.63057556335919,8.73888995132846,3.1950000000000003
7,99.98,41.92724079297993,15.585173528520189,13.361583434667661,13.38030052107203,12.10078740349817,12.2634321287047,12.913141240991223,14.174289584775106,10.654188467848412,8.99956164433642,3.45
8,99.98,43.04883928746032,15.929527690303203,12.78536061660278,14.184100274198503,15.274938901783647,16.618105829250414,16.087362755370577,15.851766046815431,11.860110606092633,9.020528594160321,3.3
9,99.98,44.78512458842795,17.038278693297148,12.800232513665671,15.477374824974238,13.726056327768536,14.514672215248059,15.974242669977322,15.449991544408693,11.165612896765175,9.037207794426976,2.98
10,99.98,40.42694959903809,17.948897385072325,14.634250896694624,14.00637666286724,13.838768651475288,14.775341434631995,19.475167715642606,17.60866668420543,11.914500334527457,9.561053610182206,2.9349999999999996
11,99.58500000000001,47.13248864722091,18.067434214326784,13.263932556363219,12.782190011416803,12.343026872145575,13.545242139057516,15.475262519455256,15.639249695830141,13.198852556340286,9.730932278545925,3.3649999999999998
12,96.7,46.301096452437704,18.5175700739628,13.633294179965564,12.445062254964217,12.121401927314594,12.62044936424445,13.867732044363741,13.748425803605574,11.821369996640154,9.55665313076594,3.75
13,92.92,45.78461152847461,19.044774374776335,15.417716794721702,13.613529773345917,13.069291486916295,14.418120790626652,15.032029014507952,15.520241300889072,11.283269389079964,9.546627015495107,4.735
14,82.27,47.453838306503364,19.129671256917806,13.430162426159933,12.411224627991329,12.203973128145185,12.56291632314256,13.557005748276081,13.472351400682788,11.257389299712921,9.889195670949176,9.39
15,92.14500000000001,43.42568364487815,18.399576925227684,14.764068019520597,13.572275978440775,12.364876526592097,12.89040324563327,13.735203267969515,14.060153522880231,10.772831356146442,9.239856274435965,4.805000000000001
16,95.555,45.02899153908766,19.23586986851215,14.036264691781238,12.551061134652478,12.400826841148348,13.749755162733841,15.187215030241749,15.121680545555272,11.449756296052161,9.633289461874302,4.16
17,96.155,46.620547399410896,26.281128116670736,18.988783063276692,15.96310341714899,14.55938414517787,17.04153045123253,18.220056922683604,17.571166353293954,15.621755448112095,13.004299069942004,4.05
18,97.93,42.50799787954271,25.553816628283215,17.946253199598853,14.999405786484754,14.250812335900864,16.42814387793716,17.01659720488145,16.736456590543497,14.545426538338159,11.923954597295648,3.15
19,98.08000000000001,39.45691929178392,15.587959714521602,11.87549664049781,11.521260960658442,11.352035670708016,11.978978315826197,12.237931143196583,12.252860369641638,10.428041106436647,9.028760889386863,2.935
20,98.105,43.39781619940351,11.57761302076191,10.800442067127907,10.825551818123689,10.872900371107715,11.283842642250395,11.221152199529826,10.655085273274548,9.782153841821575,8.724263336328741,2.205
21,98.345,35.22303777831766,11.485671368657169,10.738701492997876,10.777172438154988,10.870620257815244,11.249071467221025,11.176356254615502,10.618924296348945,9.651034981920132,8.849200448509528,1.625
22,98.58500000000001,36.819042229826096,11.556161316300535,10.776240180280418,10.78975191705855,10.897329024704273,11.293691359948625,11.192726650802866,10.675105564629892,9.676470467881273,8.795936862224767,1.52
23,98.825,30.724941224314442,11.593849135103637,10.80762452072857,10.789621161508492,10.891382231131862,11.261376751408845,11.162774529902702,10.642422787883355,9.611746910021758,8.71666315092862,0.8999999999999999
